Successfully processed folder: Development in Transportation(history, STEM, relation, USAEnglish, English), testid: 0
Successfully processed folder: Development in Transportation(history, STEM, relation, USAEnglish, English), testid: 1
Successfully processed folder: Development in Transportation(history, STEM, relation, USAEnglish, English), testid: 2
Successfully processed folder: Development in Transportation(history, STEM, relation, USAEnglish, English), testid: 3
Successfully processed folder: Artistic Expression in Different Eras(history, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Artistic Expression in Different Eras(history, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Artistic Expression in Different Eras(history, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Artistic Expression in Different Eras(history, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Role of Innovation in Lighting Technology(history, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Role of Innovation in Lighting Technology(history, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Role of Innovation in Lighting Technology(history, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Role of Innovation in Lighting Technology(history, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Historical Development of Writing Tools(history, STEM, relation, USAEnglish, English), testid: 0
Successfully processed folder: Historical Development of Writing Tools(history, STEM, relation, USAEnglish, English), testid: 1
Successfully processed folder: Historical Development of Writing Tools(history, STEM, relation, USAEnglish, English), testid: 2
Successfully processed folder: Historical Development of Writing Tools(history, STEM, relation, USAEnglish, English), testid: 3
Successfully processed folder: Advancements in Food Preservation for Exploration(food, STEM, relation, NA, English), testid: 0
Successfully processed folder: Advancements in Food Preservation for Exploration(food, STEM, relation, NA, English), testid: 1
Successfully processed folder: Advancements in Food Preservation for Exploration(food, STEM, relation, NA, English), testid: 2
Successfully processed folder: Advancements in Food Preservation for Exploration(food, STEM, relation, NA, English), testid: 3
Successfully processed folder: Evolution of Educational Tools(history, STEM, relation, NA, English), testid: 0
Successfully processed folder: Evolution of Educational Tools(history, STEM, relation, NA, English), testid: 1
Successfully processed folder: Evolution of Educational Tools(history, STEM, relation, NA, English), testid: 2
Skipping already processed folder: Development in Transportation(history, STEM, relation, USAEnglish, English)
Skipping already processed folder: Artistic Expression in Different Eras(history, STEM, mutual elements, NA, English)
Skipping already processed folder: Role of Innovation in Lighting Technology(history, STEM, mutual elements, NA, English)
Skipping already processed folder: Historical Development of Writing Tools(history, STEM, relation, USAEnglish, English)
Skipping already processed folder: Advancements in Food Preservation for Exploration(food, STEM, relation, NA, English)
Results exist but not complete for folder Evolution of Educational Tools(history, STEM, relation, NA, English)
Successfully processed folder: Evolution of Educational Tools(history, STEM, relation, NA, English), testid: 3
Successfully processed folder: Development of Fast Food Industry(food, history, relation, NA, English), testid: 0
Successfully processed folder: Development of Fast Food Industry(food, history, relation, NA, English), testid: 1
Successfully processed folder: Development of Fast Food Industry(food, history, relation, NA, English), testid: 2
Successfully processed folder: Development of Fast Food Industry(food, history, relation, NA, English), testid: 3
Successfully processed folder: Evolution of Water Management(history, STEM, relation, NA, English), testid: 0
Successfully processed folder: Evolution of Water Management(history, STEM, relation, NA, English), testid: 1
Successfully processed folder: Evolution of Water Management(history, STEM, relation, NA, English), testid: 2
Successfully processed folder: Evolution of Water Management(history, STEM, relation, NA, English), testid: 3
Successfully processed folder: Evolution of Medical Practices(history, STEM, relation, NA, English), testid: 0
Successfully processed folder: Evolution of Medical Practices(history, STEM, relation, NA, English), testid: 1
Successfully processed folder: Evolution of Medical Practices(history, STEM, relation, NA, English), testid: 2
Successfully processed folder: Evolution of Medical Practices(history, STEM, relation, NA, English), testid: 3
Successfully processed folder: Food Preservation Methods through Time(food, STEM, relation, NA, English), testid: 0
Successfully processed folder: Food Preservation Methods through Time(food, STEM, relation, NA, English), testid: 1
Successfully processed folder: Food Preservation Methods through Time(food, STEM, relation, NA, English), testid: 2
Successfully processed folder: Food Preservation Methods through Time(food, STEM, relation, NA, English), testid: 3
Successfully processed folder: Cultural Influence in Cuisine(food, history, mutual elements, NA, English), testid: 0
Successfully processed folder: Cultural Influence in Cuisine(food, history, mutual elements, NA, English), testid: 1
Successfully processed folder: Cultural Influence in Cuisine(food, history, mutual elements, NA, English), testid: 2
Successfully processed folder: Cultural Influence in Cuisine(food, history, mutual elements, NA, English), testid: 3
Successfully processed folder: Roots of Innovation(STEM, food, metaphor, NA, English), testid: 0
Successfully processed folder: Roots of Innovation(STEM, food, metaphor, NA, English), testid: 1
Successfully processed folder: Roots of Innovation(STEM, food, metaphor, NA, English), testid: 2
Successfully processed folder: Roots of Innovation(STEM, food, metaphor, NA, English), testid: 3
Successfully processed folder: Symbolic Marking of Time(history, STEM, relation, NA, English), testid: 0
Successfully processed folder: Symbolic Marking of Time(history, STEM, relation, NA, English), testid: 1
Successfully processed folder: Symbolic Marking of Time(history, STEM, relation, NA, English), testid: 2
Successfully processed folder: Symbolic Marking of Time(history, STEM, relation, NA, English), testid: 3
Successfully processed folder: Nourishment of Knowledge(food, history, metaphor, NA, Hindi), testid: 0
Successfully processed folder: Nourishment of Knowledge(food, history, metaphor, NA, Hindi), testid: 1
Successfully processed folder: Nourishment of Knowledge(food, history, metaphor, NA, Hindi), testid: 2
Successfully processed folder: Nourishment of Knowledge(food, history, metaphor, NA, Hindi), testid: 3
Successfully processed folder: Fusion of Traditional and Modern Techniques(food, STEM, mutual elements, NA, Hindi), testid: 0
Successfully processed folder: Fusion of Traditional and Modern Techniques(food, STEM, mutual elements, NA, Hindi), testid: 1
Successfully processed folder: Fusion of Traditional and Modern Techniques(food, STEM, mutual elements, NA, Hindi), testid: 2
Successfully processed folder: Fusion of Traditional and Modern Techniques(food, STEM, mutual elements, NA, Hindi), testid: 3
Successfully processed folder: Mathematical Principles in Building Design(STEM, history, relation, USAEnglish, English), testid: 0
Successfully processed folder: Mathematical Principles in Building Design(STEM, history, relation, USAEnglish, English), testid: 1
Successfully processed folder: Mathematical Principles in Building Design(STEM, history, relation, USAEnglish, English), testid: 2
Successfully processed folder: Mathematical Principles in Building Design(STEM, history, relation, USAEnglish, English), testid: 3
Successfully processed folder: Ayurvedic Balance(STEM, food, relation, South Asia and South-East Asia, Hindi), testid: 0
Successfully processed folder: Ayurvedic Balance(STEM, food, relation, South Asia and South-East Asia, Hindi), testid: 1
Successfully processed folder: Ayurvedic Balance(STEM, food, relation, South Asia and South-East Asia, Hindi), testid: 2
Successfully processed folder: Ayurvedic Balance(STEM, food, relation, South Asia and South-East Asia, Hindi), testid: 3
Successfully processed folder: Elements of Life(history, STEM, metaphor, NA, Hindi), testid: 0
Successfully processed folder: Elements of Life(history, STEM, metaphor, NA, Hindi), testid: 1
Successfully processed folder: Elements of Life(history, STEM, metaphor, NA, Hindi), testid: 2
Successfully processed folder: Elements of Life(history, STEM, metaphor, NA, Hindi), testid: 3
Successfully processed folder: Fish and Knowledge(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Fish and Knowledge(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Fish and Knowledge(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Fish and Knowledge(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Rice and Family(food, history, relation, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Rice and Family(food, history, relation, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Rice and Family(food, history, relation, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Rice and Family(food, history, relation, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Structural Patterns(STEM, history, mutual elements, NA, Bengali), testid: 0
Successfully processed folder: Structural Patterns(STEM, history, mutual elements, NA, Bengali), testid: 1
Successfully processed folder: Structural Patterns(STEM, history, mutual elements, NA, Bengali), testid: 2
Successfully processed folder: Structural Patterns(STEM, history, mutual elements, NA, Bengali), testid: 3
Successfully processed folder: Sweetness of Friendship(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Sweetness of Friendship(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Sweetness of Friendship(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Sweetness of Friendship(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Journey of Life(history, STEM, relation, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Journey of Life(history, STEM, relation, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Journey of Life(history, STEM, relation, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Journey of Life(history, STEM, relation, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Rhythm of Life(STEM, history, relation, South Asia and South-East Asia, Bengali), testid: 0
