Successfully processed folder: From Simple to Complex(number, music, metaphor, NA, English), testid: 0
Successfully processed folder: From Simple to Complex(number, music, metaphor, NA, English), testid: 1
Successfully processed folder: From Simple to Complex(number, music, metaphor, NA, English), testid: 2
Successfully processed folder: From Simple to Complex(number, music, metaphor, NA, English), testid: 3
Successfully processed folder: Transformation from basic to advanced(number, culture, metaphor, NA, English), testid: 0
Successfully processed folder: Transformation from basic to advanced(number, culture, metaphor, NA, English), testid: 1
Successfully processed folder: Transformation from basic to advanced(number, culture, metaphor, NA, English), testid: 2
Successfully processed folder: Transformation from basic to advanced(number, culture, metaphor, NA, English), testid: 3
Successfully processed folder: From singular to multiplicity(number, STEM, relation, NA, English), testid: 0
Successfully processed folder: From singular to multiplicity(number, STEM, relation, NA, English), testid: 1
Successfully processed folder: From singular to multiplicity(number, STEM, relation, NA, English), testid: 2
Successfully processed folder: From singular to multiplicity(number, STEM, relation, NA, English), testid: 3
Successfully processed folder: Change in methods driving productivity development.(number, STEM, relation, NA, English), testid: 0
Successfully processed folder: Change in methods driving productivity development.(number, STEM, relation, NA, English), testid: 1
Successfully processed folder: Change in methods driving productivity development.(number, STEM, relation, NA, English), testid: 2
Successfully processed folder: Change in methods driving productivity development.(number, STEM, relation, NA, English), testid: 3
Successfully processed folder: Numerical symbolism and cultural significance(number, culture, relation, East Asia, English), testid: 0
Successfully processed folder: Numerical symbolism and cultural significance(number, culture, relation, East Asia, English), testid: 1
Successfully processed folder: Numerical symbolism and cultural significance(number, culture, relation, East Asia, English), testid: 2
Successfully processed folder: Numerical symbolism and cultural significance(number, culture, relation, East Asia, English), testid: 3
Successfully processed folder: Numerical homophones and cultural significance(number, number, mutual elements, East Asia, English), testid: 0
Successfully processed folder: Numerical homophones and cultural significance(number, number, mutual elements, East Asia, English), testid: 1
Successfully processed folder: Numerical homophones and cultural significance(number, number, mutual elements, East Asia, English), testid: 2
Successfully processed folder: Numerical homophones and cultural significance(number, number, mutual elements, East Asia, English), testid: 3
Successfully processed folder: Symbolic Associations of Number(number, number, relation, Non-English European, English), testid: 0
Successfully processed folder: Symbolic Associations of Number(number, number, relation, Non-English European, English), testid: 1
Successfully processed folder: Symbolic Associations of Number(number, number, relation, Non-English European, English), testid: 2
Successfully processed folder: Symbolic Associations of Number(number, number, relation, Non-English European, English), testid: 3
Successfully processed folder: An apple a day keeps the doctor away(number, ability, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: An apple a day keeps the doctor away(number, ability, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: An apple a day keeps the doctor away(number, ability, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: An apple a day keeps the doctor away(number, ability, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Gradual Sophistication(number, food, metaphor, NA, English), testid: 0
Successfully processed folder: Gradual Sophistication(number, food, metaphor, NA, English), testid: 1
Successfully processed folder: Gradual Sophistication(number, food, metaphor, NA, English), testid: 2
Successfully processed folder: Gradual Sophistication(number, food, metaphor, NA, English), testid: 3
Successfully processed folder: সহজ থেকে কমপ্লেক্সিটি(number, STEM, metaphor, NA, Bengali), testid: 0
Successfully processed folder: সহজ থেকে কমপ্লেক্সিটি(number, STEM, metaphor, NA, Bengali), testid: 1
Successfully processed folder: সহজ থেকে কমপ্লেক্সিটি(number, STEM, metaphor, NA, Bengali), testid: 2
Successfully processed folder: সহজ থেকে কমপ্লেক্সিটি(number, STEM, metaphor, NA, Bengali), testid: 3
Successfully processed folder: From Singularity to Diversity(number, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: From Singularity to Diversity(number, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: From Singularity to Diversity(number, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: From Singularity to Diversity(number, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Intellectual Games(number, cartoon or game, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Intellectual Games(number, cartoon or game, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Intellectual Games(number, cartoon or game, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Intellectual Games(number, cartoon or game, metaphor, Non-English European, English), testid: 3
Successfully processed folder: LongevitySymbol(number, culture, metaphor, East Asia, English), testid: 0
Successfully processed folder: LongevitySymbol(number, culture, metaphor, East Asia, English), testid: 1
Successfully processed folder: LongevitySymbol(number, culture, metaphor, East Asia, English), testid: 2
Successfully processed folder: LongevitySymbol(number, culture, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cycle(number, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Cycle(number, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Cycle(number, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Cycle(number, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Transformation(animal, STEM, relation, NA, English), testid: 0
Successfully processed folder: Transformation(animal, STEM, relation, NA, English), testid: 1
Successfully processed folder: Transformation(animal, STEM, relation, NA, English), testid: 2
Successfully processed folder: Transformation(animal, STEM, relation, NA, English), testid: 3
Successfully processed folder: Entropy Increase(animal, STEM, relation, NA, English), testid: 0
Successfully processed folder: Entropy Increase(animal, STEM, relation, NA, English), testid: 1
Successfully processed folder: Entropy Increase(animal, STEM, relation, NA, English), testid: 2
Successfully processed folder: Entropy Increase(animal, STEM, relation, NA, English), testid: 3
Successfully processed folder: Topological Transformation.(animal, STEM, relation, NA, English), testid: 0
Successfully processed folder: Topological Transformation.(animal, STEM, relation, NA, English), testid: 1
Successfully processed folder: Topological Transformation.(animal, STEM, relation, NA, English), testid: 2
Successfully processed folder: Topological Transformation.(animal, STEM, relation, NA, English), testid: 3
Successfully processed folder: Symbolic Representation.(animal, animal, relation, NA, English), testid: 0
Successfully processed folder: Symbolic Representation.(animal, animal, relation, NA, English), testid: 1
Successfully processed folder: Symbolic Representation.(animal, animal, relation, NA, English), testid: 2
Successfully processed folder: Symbolic Representation.(animal, animal, relation, NA, English), testid: 3
Successfully processed folder: 猴子捞月(animal, people, metaphor, East Asia, Chinese), testid: 0
Successfully processed folder: 猴子捞月(animal, people, metaphor, East Asia, Chinese), testid: 1
Successfully processed folder: 猴子捞月(animal, people, metaphor, East Asia, Chinese), testid: 2
Successfully processed folder: 猴子捞月(animal, people, metaphor, East Asia, Chinese), testid: 3
Successfully processed folder: 守株待兔(animal, phenomenon, metaphor, East Asia, Chinese), testid: 0
Successfully processed folder: 守株待兔(animal, phenomenon, metaphor, East Asia, Chinese), testid: 1
Successfully processed folder: 守株待兔(animal, phenomenon, metaphor, East Asia, Chinese), testid: 2
Successfully processed folder: 守株待兔(animal, phenomenon, metaphor, East Asia, Chinese), testid: 3
Successfully processed folder: 龟兔赛跑(animal, stuff, metaphor, East Asia, Chinese), testid: 0
Successfully processed folder: 龟兔赛跑(animal, stuff, metaphor, East Asia, Chinese), testid: 1
Successfully processed folder: 龟兔赛跑(animal, stuff, metaphor, East Asia, Chinese), testid: 2
Successfully processed folder: 龟兔赛跑(animal, stuff, metaphor, East Asia, Chinese), testid: 3
Successfully processed folder: Number And Pronunciation(number, culture, metaphor, East Asia, English), testid: 0
Successfully processed folder: Number And Pronunciation(number, culture, metaphor, East Asia, English), testid: 1
Successfully processed folder: Number And Pronunciation(number, culture, metaphor, East Asia, English), testid: 2
Successfully processed folder: Number And Pronunciation(number, culture, metaphor, East Asia, English), testid: 3
Successfully processed folder: NumericalSystem(location, number, metaphor, Arabic-Islamic, English), testid: 0
Successfully processed folder: NumericalSystem(location, number, metaphor, Arabic-Islamic, English), testid: 1
Successfully processed folder: NumericalSystem(location, number, metaphor, Arabic-Islamic, English), testid: 2
Successfully processed folder: NumericalSystem(location, number, metaphor, Arabic-Islamic, English), testid: 3
Successfully processed folder: 狐假虎威(animal, people, metaphor, East Asia, Chinese), testid: 0
Successfully processed folder: 狐假虎威(animal, people, metaphor, East Asia, Chinese), testid: 1
Successfully processed folder: 狐假虎威(animal, people, metaphor, East Asia, Chinese), testid: 2
Successfully processed folder: 狐假虎威(animal, people, metaphor, East Asia, Chinese), testid: 3
Successfully processed folder: National animal(animal, location, mutual elements, East Asia, English), testid: 0
Successfully processed folder: National animal(animal, location, mutual elements, East Asia, English), testid: 1
Successfully processed folder: National animal(animal, location, mutual elements, East Asia, English), testid: 2
Successfully processed folder: National animal(animal, location, mutual elements, East Asia, English), testid: 3
Successfully processed folder: 国宝动物(animal, city, mutual elements, Latin American, Chinese), testid: 0
Successfully processed folder: 国宝动物(animal, city, mutual elements, Latin American, Chinese), testid: 1
Successfully processed folder: 国宝动物(animal, city, mutual elements, Latin American, Chinese), testid: 2
Successfully processed folder: 国宝动物(animal, city, mutual elements, Latin American, Chinese), testid: 3
Successfully processed folder: জাতীয় ধনভান্ডার প্রাণী।(culture, animal, relation, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: জাতীয় ধনভান্ডার প্রাণী।(culture, animal, relation, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: জাতীয় ধনভান্ডার প্রাণী।(culture, animal, relation, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: জাতীয় ধনভান্ডার প্রাণী।(culture, animal, relation, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: राष्ट्रीय ट्रेक्सेर जानवर(myth, animal, relation, South Asia and South-East Asia, Hindi), testid: 0
Successfully processed folder: राष्ट्रीय ट्रेक्सेर जानवर(myth, animal, relation, South Asia and South-East Asia, Hindi), testid: 1
Successfully processed folder: राष्ट्रीय ट्रेक्सेर जानवर(myth, animal, relation, South Asia and South-East Asia, Hindi), testid: 2
Successfully processed folder: राष्ट्रीय ट्रेक्सेर जानवर(myth, animal, relation, South Asia and South-East Asia, Hindi), testid: 3
Successfully processed folder: मैंडा अपने तालाब को सूखा नहीं कर सकता(animal, phenomenon, metaphor, South Asia and South-East Asia, Hindi), testid: 0
Successfully processed folder: मैंडा अपने तालाब को सूखा नहीं कर सकता(animal, phenomenon, metaphor, South Asia and South-East Asia, Hindi), testid: 1
Successfully processed folder: मैंडा अपने तालाब को सूखा नहीं कर सकता(animal, phenomenon, metaphor, South Asia and South-East Asia, Hindi), testid: 2
Successfully processed folder: मैंडा अपने तालाब को सूखा नहीं कर सकता(animal, phenomenon, metaphor, South Asia and South-East Asia, Hindi), testid: 3
Successfully processed folder: सफेद टिगर(animal, myth, metaphor, East Asia, Hindi), testid: 0
Successfully processed folder: सफेद टिगर(animal, myth, metaphor, East Asia, Hindi), testid: 1
Successfully processed folder: सफेद टिगर(animal, myth, metaphor, East Asia, Hindi), testid: 2
Successfully processed folder: सफेद टिगर(animal, myth, metaphor, East Asia, Hindi), testid: 3
Successfully processed folder: Biomimicry(animal, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Biomimicry(animal, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Biomimicry(animal, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Biomimicry(animal, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: बायोनिक्स(animal, STEM, metaphor, NA, Hindi), testid: 0
Successfully processed folder: बायोनिक्स(animal, STEM, metaphor, NA, Hindi), testid: 1
Successfully processed folder: बायोनिक्स(animal, STEM, metaphor, NA, Hindi), testid: 2
Successfully processed folder: बायोनिक्स(animal, STEM, metaphor, NA, Hindi), testid: 3
Successfully processed folder: বায়োনিক(animal, STEM, metaphor, East Asia, Bengali), testid: 0
Successfully processed folder: বায়োনিক(animal, STEM, metaphor, East Asia, Bengali), testid: 1
Successfully processed folder: বায়োনিক(animal, STEM, metaphor, East Asia, Bengali), testid: 2
Successfully processed folder: বায়োনিক(animal, STEM, metaphor, East Asia, Bengali), testid: 3
Successfully processed folder: 仿生学(animal, STEM, metaphor, NA, Chinese), testid: 0
Successfully processed folder: 仿生学(animal, STEM, metaphor, NA, Chinese), testid: 1
Successfully processed folder: 仿生学(animal, STEM, metaphor, NA, Chinese), testid: 2
Successfully processed folder: 仿生学(animal, STEM, metaphor, NA, Chinese), testid: 3
Successfully processed folder: Biónica(animal, STEM, metaphor, East Asia, Spanish), testid: 0
Successfully processed folder: Biónica(animal, STEM, metaphor, East Asia, Spanish), testid: 1
Successfully processed folder: Biónica(animal, STEM, metaphor, East Asia, Spanish), testid: 2
Successfully processed folder: Biónica(animal, STEM, metaphor, East Asia, Spanish), testid: 3
Successfully processed folder: জাতীয় প্রাণী(animal, city, relation, Non-English European, Bengali), testid: 0
Successfully processed folder: জাতীয় প্রাণী(animal, city, relation, Non-English European, Bengali), testid: 1
Successfully processed folder: জাতীয় প্রাণী(animal, city, relation, Non-English European, Bengali), testid: 2
Successfully processed folder: জাতীয় প্রাণী(animal, city, relation, Non-English European, Bengali), testid: 3
Successfully processed folder: राष्ट्रीय प्राणी(animal, location, relation, Latin American, Hindi), testid: 0
Successfully processed folder: राष्ट्रीय प्राणी(animal, location, relation, Latin American, Hindi), testid: 1
Successfully processed folder: राष्ट्रीय प्राणी(animal, location, relation, Latin American, Hindi), testid: 2
Successfully processed folder: राष्ट्रीय प्राणी(animal, location, relation, Latin American, Hindi), testid: 3
Successfully processed folder: রাষ্ট্র চিহ্নের প্রাণী(animal, sports, relation, USAEnglish, Bengali), testid: 0
Successfully processed folder: রাষ্ট্র চিহ্নের প্রাণী(animal, sports, relation, USAEnglish, Bengali), testid: 1
Successfully processed folder: রাষ্ট্র চিহ্নের প্রাণী(animal, sports, relation, USAEnglish, Bengali), testid: 2
Successfully processed folder: রাষ্ট্র চিহ্নের প্রাণী(animal, sports, relation, USAEnglish, Bengali), testid: 3
Successfully processed folder: रूपांतरण(food, STEM, metaphor, NA, Hindi), testid: 0
Successfully processed folder: रूपांतरण(food, STEM, metaphor, NA, Hindi), testid: 1
Successfully processed folder: रूपांतरण(food, STEM, metaphor, NA, Hindi), testid: 2
Successfully processed folder: रूपांतरण(food, STEM, metaphor, NA, Hindi), testid: 3
Successfully processed folder: Selection and Combination(food, art, relation, NA, English), testid: 0
Successfully processed folder: Selection and Combination(food, art, relation, NA, English), testid: 1
Successfully processed folder: Selection and Combination(food, art, relation, NA, English), testid: 2
Successfully processed folder: Selection and Combination(food, art, relation, NA, English), testid: 3
Successfully processed folder: From initial to success(food, business, metaphor, NA, English), testid: 0
Successfully processed folder: From initial to success(food, business, metaphor, NA, English), testid: 1
Successfully processed folder: From initial to success(food, business, metaphor, NA, English), testid: 2
Successfully processed folder: From initial to success(food, business, metaphor, NA, English), testid: 3
Successfully processed folder: Change with time(food, time, relation, NA, English), testid: 0
Successfully processed folder: Change with time(food, time, relation, NA, English), testid: 1
Successfully processed folder: Change with time(food, time, relation, NA, English), testid: 2
Successfully processed folder: Change with time(food, time, relation, NA, English), testid: 3
Successfully processed folder: Precise Timing And Conditions(food, sports, metaphor, NA, English), testid: 0
Successfully processed folder: Precise Timing And Conditions(food, sports, metaphor, NA, English), testid: 1
Successfully processed folder: Precise Timing And Conditions(food, sports, metaphor, NA, English), testid: 2
Successfully processed folder: Precise Timing And Conditions(food, sports, metaphor, NA, English), testid: 3
Successfully processed folder: Artificial Processing(food, sense, relation, NA, English), testid: 0
Successfully processed folder: Artificial Processing(food, sense, relation, NA, English), testid: 1
Successfully processed folder: Artificial Processing(food, sense, relation, NA, English), testid: 2
Successfully processed folder: Artificial Processing(food, sense, relation, NA, English), testid: 3
Successfully processed folder: Cycle of growth and decay(food, phenomenon, relation, NA, English), testid: 0
Successfully processed folder: Cycle of growth and decay(food, phenomenon, relation, NA, English), testid: 1
Successfully processed folder: Cycle of growth and decay(food, phenomenon, relation, NA, English), testid: 2
Successfully processed folder: Cycle of growth and decay(food, phenomenon, relation, NA, English), testid: 3
Successfully processed folder: Training and Improving(food, music, relation, NA, English), testid: 0
Successfully processed folder: Training and Improving(food, music, relation, NA, English), testid: 1
Successfully processed folder: Training and Improving(food, music, relation, NA, English), testid: 2
Successfully processed folder: Training and Improving(food, music, relation, NA, English), testid: 3
Successfully processed folder: Transformation through controlled chaos(food, art, relation, NA, English), testid: 0
Successfully processed folder: Transformation through controlled chaos(food, art, relation, NA, English), testid: 1
Successfully processed folder: Transformation through controlled chaos(food, art, relation, NA, English), testid: 2
Successfully processed folder: Transformation through controlled chaos(food, art, relation, NA, English), testid: 3
