Judge results for folder sleigh(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder sleigh(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder sleigh(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder sleigh(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder sleigh(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder lock(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder lock(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder lock(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder lock(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder lock(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder vampire(invisible, myth, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder vampire(invisible, myth, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder vampire(invisible, myth, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder vampire(invisible, myth, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder vampire(invisible, myth, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder trophy(invisible, sports, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder trophy(invisible, sports, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder trophy(invisible, sports, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder trophy(invisible, sports, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder trophy(invisible, sports, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder popcorn(invisible, food, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder popcorn(invisible, food, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder popcorn(invisible, food, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder popcorn(invisible, food, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder popcorn(invisible, food, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder christmasbauble(invisible, culture, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder christmasbauble(invisible, culture, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder christmasbauble(invisible, culture, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder christmasbauble(invisible, culture, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder christmasbauble(invisible, culture, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder banana(invisible, cartoon or game, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder banana(invisible, cartoon or game, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder banana(invisible, cartoon or game, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder banana(invisible, cartoon or game, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder banana(invisible, cartoon or game, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder coconut(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder coconut(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder coconut(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder coconut(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder coconut(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder bottle(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder bottle(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder bottle(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
