Judge results for folder Sports Bar(visible, sports, relation, USAEnglish, English) updated
Judge results for folder The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English) updated
Judge results for folder 乒乓外交(invisible, sports, relation, East Asia, Chinese) updated
Judge results for folder 功夫(visible, sports, relation, East Asia, Chinese) updated
Judge results for folder 蹴鞠(visible, sports, relation, East Asia, Chinese) updated
Judge results for folder Белка(visible, animal, relation, Non-English European, Russian) updated
Judge results for folder Беркут(visible, animal, relation, Non-English European, Russian) updated
Judge results for folder حصان عربي(visible, animal, relation, Arabic-Islamic, Arabic) updated
Judge results for folder نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic) updated
Judge results for folder British Fox Hunting(visible, animal, relation, USAEnglish, English) updated
Judge results for folder Scottish Highland Cattle(visible, animal, relation, USAEnglish, English) updated
Judge results for folder Nordic Bear(visible, animal, relation, other, English) updated
Judge results for folder White Storks in Poland(visible, animal, relation, Non-English European, English) updated
Judge results for folder Panda(visible, animal, relation, East Asia, English) updated
Judge results for folder Karasu (Crow in Japanese)(visible, animal, relation, East Asia, English) updated
Judge results for folder Chinese Dragon(visible, animal, relation, East Asia, English) updated
Judge results for folder Fox Spirit(visible, animal, relation, East Asia, English) updated
Judge results for folder Bighorn Sheep(visible, animal, relation, USAEnglish, English) updated
Judge results for folder Secretary bird(visible, animal, metaphor, other, English) updated
Judge results for folder Elephant(visible, animal, metaphor, other, English) updated
Judge results for folder Dog(visible, animal, metaphor, NA, English) updated
Judge results for folder Jaguar(visible, animal, metaphor, other, English) updated
Judge results for folder Alpaca(visible, animal, metaphor, other, English) updated
Judge results for folder Tai Chi(invisible, sports, relation, East Asia, English) updated
Judge results for folder Rugby(visible, sports, relation, other, English) updated
Judge results for folder Moraingy(visible, sports, relation, other, English) updated
Judge results for folder Maradona 1986(invisible, sports, relation, NA, English) updated
Judge results for folder Phillies home run(visible, sports, relation, USAEnglish, English) updated
Judge results for folder Olympic spirit(invisible, sports, relation, NA, English) updated
Judge results for folder Olympic Historic Moments(invisible, sports, relation, NA, English) updated
Judge results for folder Mooncake(visible, food, relation, East Asia, English) updated
Judge results for folder longevity noodles(visible, food, relation, East Asia, English) updated
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English) updated
Judge results for folder Dado(visible, food, relation, East Asia, English) updated
Judge results for folder Chinese Cured Meats(visible, food, relation, East Asia, English) updated
Judge results for folder Julbord(visible, food, metaphor, Non-English European, English) updated
Judge results for folder Merienda(visible, food, metaphor, Non-English European, English) updated
Judge results for folder Biergarten culture(visible, food, relation, Non-English European, English) updated
Judge results for folder Aperitivo hour(visible, food, metaphor, Non-English European, English) updated
Judge results for folder Golden arches(visible, food, metaphor, USAEnglish, English) updated
Judge results for folder Hot dog cart(visible, food, metaphor, USAEnglish, English) updated
Judge results for folder Slow cooker revolution(invisible, food, relation, USAEnglish, English) updated
Judge results for folder Jewish delis(visible, food, metaphor, USAEnglish, English) updated
Judge results for folder Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English) updated
Judge results for folder Berber bread(visible, food, relation, other, English) updated
Judge results for folder Kola nut rituals(visible, food, metaphor, other, English) updated
Judge results for folder Potjiekos cooking(visible, food, metaphor, other, English) updated
Judge results for folder Compass drawing(visible, STEM, metaphor, NA, English) updated
Judge results for folder Golden Ratio(visible, STEM, relation, NA, English) updated
Judge results for folder Mirror reflection(visible, STEM, metaphor, NA, English) updated
Judge results for folder Pascal's triangle(visible, STEM, metaphor, NA, English) updated
Judge results for folder Prime Numbers(invisible, STEM, relation, NA, English) updated
Judge results for folder Null set(visible, STEM, relation, NA, English) updated
Judge results for folder Asymptotes(visible, STEM, relation, NA, English) updated
Judge results for folder Imaginary unit(visible, STEM, metaphor, NA, English) updated
Judge results for folder Square roots(visible, STEM, metaphor, NA, English) updated
Judge results for folder Modular arithmetic(visible, STEM, relation, NA, English) updated
Judge results for folder Euclid's Elements(invisible, STEM, mutual elements, NA, English) updated
Judge results for folder Mobius Strip(visible, STEM, mutual elements, NA, English) updated
Judge results for folder Bobsleigh(visible, sports, mutual elements, NA, English) updated
Judge results for folder Phoenix(visible, myth, mutual elements, Non-English European, English) updated
Judge results for folder The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English) updated
Judge results for folder Sun Wukong(visible, myth, metaphor, East Asia, English) updated
Judge results for folder Zeus(visible, myth, mutual elements, Non-English European, English) updated
Judge results for folder Celtic Mythology(visible, myth, relation, Non-English European, English) updated
Judge results for folder Shinto Deities(visible, myth, mutual elements, East Asia, English) updated
Judge results for folder Tengu(visible, myth, relation, East Asia, English) updated
Judge results for folder Bastet(visible, myth, mutual elements, other, English) updated
Judge results for folder Nommo(visible, myth, mutual elements, other, English) updated
Judge results for folder Kua Fu Chasing the Sun(visible, myth, relation, East Asia, English) updated
Judge results for folder Nüwa Mends the Sky(visible, myth, mutual elements, East Asia, English) updated
Judge results for folder Moon(visible, stuff, mutual elements, NA, English) updated
Judge results for folder Cheongsam(visible, stuff, mutual elements, East Asia, English) updated
Judge results for folder Mask(visible, stuff, metaphor, NA, English) updated
Judge results for folder Baguette(visible, stuff, mutual elements, Non-English European, English) updated
Judge results for folder Windmill(visible, stuff, relation, Non-English European, English) updated
Judge results for folder Hollywood(visible, stuff, mutual elements, USAEnglish, English) updated
Judge results for folder Blue Jeans(visible, stuff, mutual elements, USAEnglish, English) updated
Judge results for folder The White House(visible, stuff, metaphor, USAEnglish, English) updated
Judge results for folder The Sahara Desert(visible, stuff, metaphor, other, English) updated
Judge results for folder The Nile River(visible, stuff, relation, other, English) updated
Judge results for folder Wildlife(visible, stuff, mutual elements, NA, English) updated
Judge results for folder Confucius(visible, stuff, relation, East Asia, English) updated
Judge results for folder Big Ben(visible, stuff, mutual elements, USAEnglish, English) updated
Judge results for folder The Eiffel Tower(visible, stuff, metaphor, Non-English European, English) updated
Judge results for folder Pyramids(visible, stuff, mutual elements, other, English) updated
Judge results for folder العقل زينة(invisible, art, relation, Arabic-Islamic, Arabic) updated
Judge results for folder اللي يزرع يحصد(visible, art, mutual elements, NA, Arabic) updated
Judge results for folder ما كل ما يلمع ذهبا(visible, art, relation, NA, Arabic) updated
Judge results for folder الصبر مفتاح الفرج(visible, art, metaphor, NA, Arabic) updated
Judge results for folder إذا الشعب يوما أراد الحياة فلابد أن يستجيب القدر(visible, art, relation, NA, Arabic) updated
Judge results for folder إذا أنت أكرمت الكريم ملكته وإن أنت أكرمت اللئيم تمردا(visible, art, metaphor, NA, Arabic) updated
Judge results for folder الصديق وقت الضيق(visible, art, mutual elements, NA, Arabic) updated
Judge results for folder الجوع كافر(visible, art, relation, NA, Arabic) updated
Judge results for folder На волка шапка горит(visible, art, relation, NA, Russian) updated
Judge results for folder Медведь на ухо наступил(visible, art, relation, NA, Russian) updated
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian) updated
Judge results for folder Mount Olympus(visible, myth, relation, Non-English European, English) updated
Judge results for folder Gumiho(visible, myth, relation, East Asia, English) updated
Judge results for folder Chupacabra(visible, myth, relation, USAEnglish, English) updated
Judge results for folder Mount Fuji(visible, stuff, relation, East Asia, English) updated
Judge results for folder Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian) updated
Judge results for folder Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian) updated
Judge results for folder Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian) updated
Judge results for folder Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian) updated
Judge results for folder Быть человеком — значит быть свободным(visible, art, relation, Non-English European, Russian) updated
Judge results for folder Баран(visible, art, mutual elements, Non-English European, Russian) updated
Judge results for folder В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian) updated
Judge results for folder انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu) updated
Judge results for folder پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu) updated
Judge results for folder چڑیا کے گھر میں نہ بیٹھو(visible, art, mutual elements, Arabic-Islamic, Urdu) updated
Judge results for folder جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu) updated
Judge results for folder دیر آید، درست آید(visible, art, mutual elements, Arabic-Islamic, Urdu) updated
Judge results for folder خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu) updated
Judge results for folder ہزاروں خواہشیں ایسی کہ ہر خواہش پہ دم نکلے(visible, art, mutual elements, Arabic-Islamic, Urdu) updated
Judge results for folder یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu) updated
Judge results for folder زندگی سے یہ شکایت نہیں، موت کا انتظار ہے(visible, art, mutual elements, Arabic-Islamic, Urdu) updated
