Successfully processed folder: talking ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: talking ability(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: talking ability(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: talking ability(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: talking ability(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: talking ability(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: running ability(visible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: running ability(visible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: running ability(visible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: running ability(visible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: running ability(visible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: running ability(visible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: jumping ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: jumping ability(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: jumping ability(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: jumping ability(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: Painting ability(invisible, ability, relation, NA, English), testid: 0
Successfully processed folder: Painting ability(invisible, ability, relation, NA, English), testid: 1
Successfully processed folder: Painting ability(invisible, ability, relation, NA, English), testid: 2
Successfully processed folder: Painting ability(invisible, ability, relation, NA, English), testid: 3
Successfully processed folder: Painting ability(invisible, ability, relation, NA, English), testid: 4
Successfully processed folder: Painting ability(invisible, ability, relation, NA, English), testid: 5
Successfully processed folder: brightness and power(visible, ability, relation, NA, English), testid: 0
Successfully processed folder: brightness and power(visible, ability, relation, NA, English), testid: 1
Successfully processed folder: swimming ability(visible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: swimming ability(visible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: swimming ability(visible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: swimming ability(visible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: swimming ability(visible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: swimming ability(visible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: cooking ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: cooking ability(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: cooking ability(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: cooking ability(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: cooking ability(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: cooking ability(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: smelling ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: smelling ability(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: smelling ability(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: smelling ability(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: smelling ability(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: smelling ability(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: smelling ability(invisible, ability, mutual elements, NA, English), testid: 6
Successfully processed folder: smelling ability(invisible, ability, mutual elements, NA, English), testid: 7
Successfully processed folder: smelling ability(invisible, ability, mutual elements, NA, English), testid: 8
Successfully processed folder: writing ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: writing ability(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: writing ability(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: writing ability(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: writing ability(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: writing ability(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: vision(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: vision(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: vision(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: vision(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: Physical Prowess(visible, ability, relation, NA, English), testid: 0
Successfully processed folder: Physical Prowess(visible, ability, relation, NA, English), testid: 1
Successfully processed folder: Physical Prowess(visible, ability, relation, NA, English), testid: 2
Successfully processed folder: Physical Prowess(visible, ability, relation, NA, English), testid: 3
Successfully processed folder: Mental Acuity(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: Mental Acuity(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: Mental Acuity(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: Mental Acuity(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: Mental Acuity(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: Mental Acuity(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: Leadership(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: Leadership(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: Leadership(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: Leadership(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: Leadership(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: Leadership(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: physical prowess and control(visible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: physical prowess and control(visible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: physical prowess and control(visible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: physical prowess and control(visible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: physical prowess and control(visible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: physical prowess and control(visible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: balance ability(visible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: balance ability(visible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: balance ability(visible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: balance ability(visible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: balance ability(visible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: balance ability(visible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: growth ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: growth ability(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: growth ability(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: growth ability(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: growth ability(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: growth ability(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: management ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: management ability(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: management ability(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: management ability(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: management ability(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: management ability(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: Communication Skills(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: Communication Skills(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: Communication Skills(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: Communication Skills(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: Communication Skills(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: Communication Skills(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: Communication Skills(invisible, ability, mutual elements, NA, English), testid: 6
Successfully processed folder: Communication Skills(invisible, ability, mutual elements, NA, English), testid: 7
Successfully processed folder: decision-making ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: decision-making ability(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: decision-making ability(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: decision-making ability(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: decision-making ability(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: decision-making ability(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: teamwork ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: teamwork ability(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: teamwork ability(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: teamwork ability(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: teamwork ability(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: teamwork ability(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: executive force(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: executive force(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: executive force(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: executive force(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: executive force(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: executive force(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: eyesight(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: eyesight(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: eyesight(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: eyesight(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: eyesight(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: eyesight(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: opportunity and ability(invisible, ability, relation, NA, English), testid: 0
Successfully processed folder: opportunity and ability(invisible, ability, relation, NA, English), testid: 1
Successfully processed folder: opportunity and ability(invisible, ability, relation, NA, English), testid: 2
Successfully processed folder: opportunity and ability(invisible, ability, relation, NA, English), testid: 3
Successfully processed folder: opportunity and ability(invisible, ability, relation, NA, English), testid: 4
Successfully processed folder: opportunity and ability(invisible, ability, relation, NA, English), testid: 5
Successfully processed folder: opportunity and ability(invisible, ability, relation, NA, English), testid: 6
Successfully processed folder: opportunity and ability(invisible, ability, relation, NA, English), testid: 7
Successfully processed folder: opportunity and ability(invisible, ability, relation, NA, English), testid: 8
Successfully processed folder: Curiosity(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: Curiosity(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: Curiosity(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: Curiosity(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: Curiosity(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: Curiosity(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: ability to grow(invisible, ability, relation, NA, English), testid: 0
Successfully processed folder: ability to grow(invisible, ability, relation, NA, English), testid: 1
Successfully processed folder: ability to grow(invisible, ability, relation, NA, English), testid: 2
Successfully processed folder: ability to grow(invisible, ability, relation, NA, English), testid: 3
Successfully processed folder: Potential to perform(invisible, ability, metaphor, NA, English), testid: 0
Successfully processed folder: Potential to perform(invisible, ability, metaphor, NA, English), testid: 1
Successfully processed folder: Potential to perform(invisible, ability, metaphor, NA, English), testid: 2
Successfully processed folder: message passing(visible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: message passing(visible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: message passing(visible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: message passing(visible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: message passing(visible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: message passing(visible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: Cryptography(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: Cryptography(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: Cryptography(invisible, ability, mutual elements, NA, English), testid: 2
