Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English)
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English)
Successfully processed folder: Pub(invisible, animal, mutual elements, USAEnglish, English)
Successfully processed folder: Christmas(invisible, animal, mutual elements, USAEnglish, English)
Successfully processed folder: Royal Pets(visible, animal, metaphor, USAEnglish, English)
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English)
Successfully processed folder: Frog(invisible, animal, relation, NA, English)
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English)
Successfully processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English)
Successfully processed folder: 猴子捞月(visible, animal, metaphor, East Asia, Chinese)
Successfully processed folder: 蚕丝(invisible, animal, relation, East Asia, Chinese)
Successfully processed folder: SunWukong(visible, animal, metaphor, East Asia, English)
Successfully processed folder: predation(visible, animal, relation, NA, English)
Successfully processed folder: Russia(invisible, animal, mutual elements, Non-English European, English)
Successfully processed folder: Corrida de toros(visible, animal, relation, Non-English European, Spanish)
Successfully processed folder: Símbolo de paz(visible, animal, metaphor, Non-English European, Spanish)
Successfully processed folder: Два медведя в одной берлоге не живут(invisible, animal, metaphor, Non-English European, Russian)
Successfully processed folder: Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian)
Successfully processed folder: Bee and honeycomb(visible, animal, relation, NA, English)
Successfully processed folder: nest(invisible, animal, relation, NA, English)
Successfully processed folder: Topology(visible, STEM, mutual elements, NA, English)
Successfully processed folder: 九章算术(invisible, STEM, mutual elements, East Asia, Chinese)
Successfully processed folder: 珠心算(visible, STEM, relation, East Asia, Chinese)
Successfully processed folder: equation(invisible, STEM, metaphor, NA, English)
Successfully processed folder: Fibonacci Sequence(visible, STEM, metaphor, NA, English)
Successfully processed folder: Regular Hexagonal Prism(visible, STEM, metaphor, NA, English)
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English)
Successfully processed folder: square(invisible, STEM, mutual elements, NA, English)
Successfully processed folder: irrational number(visible, STEM, mutual elements, NA, English)
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English)
Successfully processed folder: Game Theory(invisible, STEM, relation, Non-English European, English)
Successfully processed folder: Exponential Growth(invisible, STEM, mutual elements, NA, English)
Successfully processed folder: Pyraminx(invisible, STEM, metaphor, NA, English)
Successfully processed folder: Abanico flamenco(invisible, STEM, relation, Non-English European, Spanish)
Successfully processed folder: Счет(invisible, STEM, metaphor, Non-English European, Russian)
Successfully processed folder: Mayan Mathematics(visible, STEM, mutual elements, Latin American, English)
Successfully processed folder: Cryptography(invisible, STEM, relation, NA, English)
Successfully processed folder: Eulerian Path(visible, STEM, relation, Non-English European, English)
Successfully processed folder: Ellipsoid(visible, STEM, mutual elements, USAEnglish, English)
Successfully processed folder: Calculus(visible, STEM, metaphor, NA, English)
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish)
Successfully processed folder: Paella de Mariscos(invisible, food, metaphor, Non-English European, Spanish)
Successfully processed folder: Pasta con Gambas Rojas del Mediterráneo(visible, food, metaphor, Non-English European, Spanish)
Successfully processed folder: Tomahawk Steak(visible, food, relation, NA, English)
Successfully processed folder: Sushi(invisible, food, mutual elements, East Asia, English)
Successfully processed folder: Dumplings(invisible, food, mutual elements, East Asia, English)
Successfully processed folder: Peking Duck(invisible, food, mutual elements, East Asia, Chinese)
