Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English), testid: 0
Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English), testid: 3
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 0
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 1
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 2
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 4
Successfully processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English), testid: 0
Successfully processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English), testid: 1
Successfully processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English), testid: 2
Successfully processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English), testid: 3
Successfully processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English), testid: 4
Successfully processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English), testid: 5
Successfully processed folder: 6 and 9(visible, number, relation, NA, English), testid: 0
Successfully processed folder: 6 and 9(visible, number, relation, NA, English), testid: 1
Successfully processed folder: 6 and 9(visible, number, relation, NA, English), testid: 2
Successfully processed folder: 6 and 9(visible, number, relation, NA, English), testid: 3
Successfully processed folder: 6 and 9(visible, number, relation, NA, English), testid: 4
Successfully processed folder: 6 and 9(visible, number, relation, NA, English), testid: 5
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 0
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 1
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 2
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 3
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 0
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 1
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 2
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 4
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 5
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 0
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 1
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 2
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 3
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 5
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English), testid: 0
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English), testid: 2
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English), testid: 4
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 0
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 1
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 2
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 3
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 5
Successfully processed folder: Solar System(visible, number, relation, NA, English), testid: 0
Successfully processed folder: Solar System(visible, number, relation, NA, English), testid: 1
Successfully processed folder: Solar System(visible, number, relation, NA, English), testid: 2
Successfully processed folder: Solar System(visible, number, relation, NA, English), testid: 3
Successfully processed folder: Solar System(visible, number, relation, NA, English), testid: 4
Successfully processed folder: Solar System(visible, number, relation, NA, English), testid: 5
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 0
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 1
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 2
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 4
Successfully processed folder: 12-Bar Blues(invisible, number, relation, NA, English), testid: 0
Successfully processed folder: 12-Bar Blues(invisible, number, relation, NA, English), testid: 1
Successfully processed folder: 12-Bar Blues(invisible, number, relation, NA, English), testid: 2
Successfully processed folder: 12-Bar Blues(invisible, number, relation, NA, English), testid: 3
Successfully processed folder: 12-Bar Blues(invisible, number, relation, NA, English), testid: 4
Successfully processed folder: 12-Bar Blues(invisible, number, relation, NA, English), testid: 5
Successfully processed folder: Chance(invisible, number, metaphor, NA, English), testid: 0
Successfully processed folder: Chance(invisible, number, metaphor, NA, English), testid: 1
Successfully processed folder: Chance(invisible, number, metaphor, NA, English), testid: 2
Successfully processed folder: Chance(invisible, number, metaphor, NA, English), testid: 3
Successfully processed folder: Chance(invisible, number, metaphor, NA, English), testid: 4
Successfully processed folder: Chance(invisible, number, metaphor, NA, English), testid: 5
Successfully processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English), testid: 0
Successfully processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English), testid: 1
Successfully processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English), testid: 2
Successfully processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English), testid: 3
Successfully processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English), testid: 4
Successfully processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English), testid: 5
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 0
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 1
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 2
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 4
Successfully processed folder: Ancient Rome(invisible, history, relation, other, English), testid: 0
Successfully processed folder: Ancient Rome(invisible, history, relation, other, English), testid: 1
Successfully processed folder: Ancient Rome(invisible, history, relation, other, English), testid: 2
Successfully processed folder: Ancient Rome(invisible, history, relation, other, English), testid: 3
Successfully processed folder: Ancient Rome(invisible, history, relation, other, English), testid: 4
Successfully processed folder: Ancient Rome(invisible, history, relation, other, English), testid: 5
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 0
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 1
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 2
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 3
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 0
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 1
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 2
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 4
Successfully processed folder: The Information Age(invisible, history, mutual elements, NA, English), testid: 0
Successfully processed folder: The Information Age(invisible, history, mutual elements, NA, English), testid: 1
Successfully processed folder: The Information Age(invisible, history, mutual elements, NA, English), testid: 2
Successfully processed folder: The Information Age(invisible, history, mutual elements, NA, English), testid: 3
Successfully processed folder: The Information Age(invisible, history, mutual elements, NA, English), testid: 4
Successfully processed folder: The Information Age(invisible, history, mutual elements, NA, English), testid: 5
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 0
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 1
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 2
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 3
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 0
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 1
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 2
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 3
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 0
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 1
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 2
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 4
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 0
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 1
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 2
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 4
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English), testid: 0
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English), testid: 1
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English), testid: 2
