Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English), testid: 4
Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English), testid: 5
Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English), testid: 6
Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English), testid: 7
Successfully processed folder: Santorini(visible, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English), testid: 4
Successfully processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English), testid: 5
Successfully processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English), testid: 6
Successfully processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English), testid: 7
Successfully processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English), testid: 8
Successfully processed folder: Electronics(invisible, STEM, relation, NA, English), testid: 0
Successfully processed folder: Electronics(invisible, STEM, relation, NA, English), testid: 1
Successfully processed folder: Electronics(invisible, STEM, relation, NA, English), testid: 2
Successfully processed folder: Electronics(invisible, STEM, relation, NA, English), testid: 3
Successfully processed folder: Electronics(invisible, STEM, relation, NA, English), testid: 4
Successfully processed folder: Electronics(invisible, STEM, relation, NA, English), testid: 5
Successfully processed folder: Electronics(invisible, STEM, relation, NA, English), testid: 6
Successfully processed folder: Electronics(invisible, STEM, relation, NA, English), testid: 7
Successfully processed folder: Electronics(invisible, STEM, relation, NA, English), testid: 8
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 0
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 1
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 2
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 3
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 4
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 5
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 6
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 7
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 8
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 9
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 10
Successfully processed folder: Geology(invisible, STEM, relation, NA, English), testid: 11
Successfully processed folder: Montreal(invisible, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Montreal(invisible, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Montreal(invisible, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Montreal(invisible, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Proprioception(invisible, sense, mutual elements, NA, English), testid: 0
Successfully processed folder: Proprioception(invisible, sense, mutual elements, NA, English), testid: 1
Successfully processed folder: Proprioception(invisible, sense, mutual elements, NA, English), testid: 2
Successfully processed folder: Proprioception(invisible, sense, mutual elements, NA, English), testid: 3
Successfully processed folder: Proprioception(invisible, sense, mutual elements, NA, English), testid: 4
Successfully processed folder: Proprioception(invisible, sense, mutual elements, NA, English), testid: 5
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 5
