Successfully processed folder: Cinematic Inspirations (movie, sense, relation, USAEnglish, English), testid: 0
Successfully processed folder: Cinematic Inspirations (movie, sense, relation, USAEnglish, English), testid: 1
Successfully processed folder: Cinematic Inspirations (movie, sense, relation, USAEnglish, English), testid: 2
Successfully processed folder: Cinematic Inspirations (movie, sense, relation, USAEnglish, English), testid: 3
Successfully processed folder: Familial Legacies (movie, stuff, relation, USAEnglish, English), testid: 0
Successfully processed folder: Familial Legacies (movie, stuff, relation, USAEnglish, English), testid: 1
Successfully processed folder: Familial Legacies (movie, stuff, relation, USAEnglish, English), testid: 2
Successfully processed folder: Familial Legacies (movie, stuff, relation, USAEnglish, English), testid: 3
Successfully processed folder: Dreamlike Realities (movie, culture, relation, USAEnglish, English), testid: 0
Successfully processed folder: Dreamlike Realities (movie, culture, relation, USAEnglish, English), testid: 1
Successfully processed folder: Dreamlike Realities (movie, culture, relation, USAEnglish, English), testid: 2
Successfully processed folder: Dreamlike Realities (movie, culture, relation, USAEnglish, English), testid: 3
Successfully processed folder: Social Class Commentary (movie, culture, relation, USAEnglish, English), testid: 0
Successfully processed folder: Social Class Commentary (movie, culture, relation, USAEnglish, English), testid: 1
Successfully processed folder: Social Class Commentary (movie, culture, relation, USAEnglish, English), testid: 2
Successfully processed folder: Social Class Commentary (movie, culture, relation, USAEnglish, English), testid: 3
Successfully processed folder: Adventure in Otherworlds (movie, cartoon or game, relation, USAEnglish, English), testid: 0
Successfully processed folder: Adventure in Otherworlds (movie, cartoon or game, relation, USAEnglish, English), testid: 1
Successfully processed folder: Adventure in Otherworlds (movie, cartoon or game, relation, USAEnglish, English), testid: 2
Successfully processed folder: Adventure in Otherworlds (movie, cartoon or game, relation, USAEnglish, English), testid: 3
Successfully processed folder: Digital Realities (movie, culture, relation, USAEnglish, English), testid: 0
Successfully processed folder: Digital Realities (movie, culture, relation, USAEnglish, English), testid: 1
Successfully processed folder: Digital Realities (movie, culture, relation, USAEnglish, English), testid: 2
Successfully processed folder: Digital Realities (movie, culture, relation, USAEnglish, English), testid: 3
Successfully processed folder: Romantic Melodies (movie, music, relation, USAEnglish, English), testid: 0
Successfully processed folder: Romantic Melodies (movie, music, relation, USAEnglish, English), testid: 1
Successfully processed folder: Romantic Melodies (movie, music, relation, USAEnglish, English), testid: 2
Successfully processed folder: Romantic Melodies (movie, music, relation, USAEnglish, English), testid: 3
Successfully processed folder: Timeless Love Stories (movie, art, relation, Non-English European, English), testid: 0
Successfully processed folder: Timeless Love Stories (movie, art, relation, Non-English European, English), testid: 1
Successfully processed folder: Timeless Love Stories (movie, art, relation, Non-English European, English), testid: 2
Successfully processed folder: Timeless Love Stories (movie, art, relation, Non-English European, English), testid: 3
