Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English)
Successfully processed folder: 8(invisible, number, relation, NA, English)
Successfully processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English)
Successfully processed folder: 6 and 9(visible, number, relation, NA, English)
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English)
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English)
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English)
Successfully processed folder: H2O(invisible, number, relation, NA, English)
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English)
Successfully processed folder: Infinity(visible, number, metaphor, NA, English)
Successfully processed folder: Solar System(visible, number, relation, NA, English)
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English)
Successfully processed folder: 12-Bar Blues(invisible, number, relation, NA, English)
Successfully processed folder: Chance(invisible, number, metaphor, NA, English)
Successfully processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English)
Successfully processed folder: Cold War(invisible, history, relation, NA, English)
Successfully processed folder: Ancient Rome(invisible, history, relation, other, English)
Successfully processed folder: World War II(invisible, history, metaphor, NA, English)
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English)
Successfully processed folder: The Information Age(invisible, history, mutual elements, NA, English)
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English)
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English)
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English)
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English)
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English)
Successfully processed folder: The Reformation(invisible, history, metaphor, Non-English European, English)
Successfully processed folder: Hollywood Golden Age(visible, movie, relation, USAEnglish, English)
Successfully processed folder: Titanic(visible, movie, metaphor, USAEnglish, English)
Successfully processed folder: Horror(visible, movie, mutual elements, NA, English)
Successfully processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English)
Successfully processed folder: cinema(invisible, movie, mutual elements, NA, English)
Successfully processed folder: Frozen(visible, movie, relation, USAEnglish, English)
Successfully processed folder: Making movie(invisible, movie, mutual elements, NA, English)
Successfully processed folder: Jurassic Park(invisible, movie, relation, USAEnglish, English)
Successfully processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English)
Successfully processed folder: Cannes Film Festival and Cinéma vérité(invisible, movie, metaphor, Non-English European, English)
Successfully processed folder: Film Post-Production(visible, movie, mutual elements, NA, English)
Successfully processed folder: Japanese cartoon(invisible, cartoon or game, mutual elements, East Asia, English)
Successfully processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English)
Successfully processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English)
Successfully processed folder: Minecraft(invisible, cartoon or game, relation, NA, English)
Successfully processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English)
Successfully processed folder: Mario(invisible, cartoon or game, relation, East Asia, English)
Successfully processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English)
Successfully processed folder: Controller(invisible, cartoon or game, metaphor, NA, English)
Successfully processed folder: Multiplayer(invisible, cartoon or game, mutual elements, NA, English)
Successfully processed folder: Role-Play Game(RPG)(invisible, cartoon or game, metaphor, NA, English)
Successfully processed folder: Stardew Valley(invisible, cartoon or game, relation, NA, English)
Successfully processed folder: World-building game(invisible, cartoon or game, mutual elements, NA, English)
Successfully processed folder: Beethoven(invisible, music, relation, Non-English European, English)
Successfully processed folder: Rock Music(invisible, music, mutual elements, NA, English)
Successfully processed folder: Hip hop music(invisible, music, metaphor, NA, English)
Successfully processed folder: Grand Piano(invisible, music, relation, NA, English)
Successfully processed folder: String and Spectrum(invisible, music, relation, NA, English)
Successfully processed folder: Trumpet(invisible, music, meatphor, NA, English)
Successfully processed folder: Rock Music and Electric Instruments(invisible, music, relation, NA, English)
Successfully processed folder: K-pop(invisible, music, mutual elements, East Asia, English)
Successfully processed folder: Tango(invisible, music, metaphor, USAEnglish, English)
Successfully processed folder: El Niño(invisible, phenomenon, relation, NA, English)
Successfully processed folder: Nuclear Fission(invisible, phenomenon, mutual elements, NA, English)
Successfully processed folder: Ocean Tides(invisible, phenomenon, relation, NA, English)
Successfully processed folder: Glacier Melting(invisible, phenomenon, relation, NA, English)
Successfully processed folder: Superconductivity(invisible, phenomenon, mutual elements, NA, English)
Successfully processed folder: Hurricane(invisible, phenomenon, metaphor, NA, English)
Successfully processed folder: Halo Effect(invisible, phenomenon, relation, NA, English)
Successfully processed folder: Reality TV(invisible, phenomenon, mutual elements, NA, English)
Successfully processed folder: Podcast Boom(invisible, phenomenon, metaphor, NA, English)
Successfully processed folder: The Space Race(invisible, phenomenon, relation, NA, English)
Successfully processed folder: Cognitive Dissonance(invisible, phenomenon, metaphor, NA, English)
Successfully processed folder: The Gold Rush(invisible, phenomenon, metaphor, USAEnglish, English)
Successfully processed folder: Le Petit Prince(invisible, art, relation, Latin American, French)
Successfully processed folder: Victor Hugo(invisible, art, relation, Latin American, French)
Successfully processed folder: Les Misérables(invisible, art, relation, Latin American, French)
Successfully processed folder: Madame Bovary(invisible, art, relation, Latin American, French)
Successfully processed folder: Les Fleurs du mal(invisible, art, relation, Latin American, French)
Successfully processed folder: Germinal(invisible, art, relation, Latin American, French)
Successfully processed folder: La Peste(invisible, art, relation, Latin American, French)
Successfully processed folder: Chercher la petite bête(invisible, art, relation, Latin American, French)
Successfully processed folder: Raconter des salades(invisible, art, relation, Latin American, French)
Successfully processed folder: Avoir un coup de foudre(invisible, art, relation, Latin American, French)
Successfully processed folder: Don Quijote de la Mancha(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: Cien años de soledad(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: La Casa de los Espíritus(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: El amor en los tiempos del cólera(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: La sombra del viento(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: Pedro Páramo(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: ¡Es un pez gordo(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: Dar en el clavo(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: Echar leña al fuego(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: Pedir peras al olmo(invisible, art, relation, Latin American, Spanish)
Successfully processed folder: Faust(invisible, art, relation, Latin American, German)
Successfully processed folder: Der Prozess(invisible, art, relation, Latin American, German)
Successfully processed folder: Die Verwandlung(invisible, art, relation, Latin American, German)
Successfully processed folder: Die Räuber(invisible, art, relation, Latin American, German)
Successfully processed folder: Der Steppenwolf(invisible, art, relation, Latin American, German)
Successfully processed folder: Nibelungenlied(invisible, art, relation, Latin American, German)
Successfully processed folder: Ich verstehe nur Bahnhof(invisible, art, relation, Latin American, German)
Successfully processed folder: Die Katze im Sack kaufen(invisible, art, relation, Latin American, German)
Successfully processed folder: Hals- und Beinbruch(invisible, art, relation, Latin American, German)
Successfully processed folder: Kopf in den Sand stecken(invisible, art, relation, Latin American, German)
Results saved to D:\python\single_test_judge\InnovativeVolunteersHub-Week1Collection-lny\yi-vision_results.json
Skipping already processed folder: number 0 and 1(invisible, number, metaphor, NA, English)
Skipping already processed folder: 8(invisible, number, relation, NA, English)
Skipping already processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English)
Skipping already processed folder: 6 and 9(visible, number, relation, NA, English)
Skipping already processed folder: Golden Ratio(invisible, number, mutual elements, NA, English)
Skipping already processed folder: Cryptography(invisible, number, metaphor, NA, English)
Skipping already processed folder: Superstition(visible, number, mutual elements, USAEnglish, English)
Skipping already processed folder: H2O(invisible, number, relation, NA, English)
Skipping already processed folder: Basketball Team Composition(visible, number, metaphor, NA, English)
Skipping already processed folder: Infinity(visible, number, metaphor, NA, English)
Skipping already processed folder: Solar System(visible, number, relation, NA, English)
Skipping already processed folder: Five Hundred Miles(invisible, number, relation, NA, English)
Skipping already processed folder: 12-Bar Blues(invisible, number, relation, NA, English)
Skipping already processed folder: Chance(invisible, number, metaphor, NA, English)
Skipping already processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English)
Skipping already processed folder: Cold War(invisible, history, relation, NA, English)
Skipping already processed folder: Ancient Rome(invisible, history, relation, other, English)
Skipping already processed folder: World War II(invisible, history, metaphor, NA, English)
Skipping already processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English)
Skipping already processed folder: The Information Age(invisible, history, mutual elements, NA, English)
Skipping already processed folder: The Age of Enlightenment(invisible, history, relation, NA, English)
Skipping already processed folder: The Victorian Era(invisible, history, relation, Non-English European, English)
Skipping already processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English)
Skipping already processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English)
Skipping already processed folder: The Silk Road(invisible, history, metaphor, East Asia, English)
Skipping already processed folder: The Reformation(invisible, history, metaphor, Non-English European, English)
