Successfully processed folder: Facilitators of Cultural Exchange and Community Engagement(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Facilitators of Cultural Exchange and Community Engagement(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Facilitators of Cultural Exchange and Community Engagement(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Facilitators of Cultural Exchange and Community Engagement(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Modes of Travel in Different Environments(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Modes of Travel in Different Environments(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Modes of Travel in Different Environments(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Modes of Travel in Different Environments(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Culinary Experiences in Different Settings(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Culinary Experiences in Different Settings(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Culinary Experiences in Different Settings(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Culinary Experiences in Different Settings(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: The Interconnection of Music and Dance in Cultural Expression(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: The Interconnection of Music and Dance in Cultural Expression(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: The Interconnection of Music and Dance in Cultural Expression(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: The Interconnection of Music and Dance in Cultural Expression(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Walking Experiences in Different Environments(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Walking Experiences in Different Environments(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Walking Experiences in Different Environments(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Walking Experiences in Different Environments(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Innovative Sustainability(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Innovative Sustainability(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Innovative Sustainability(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Innovative Sustainability(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Preservation of Craftsmanship(country, city, metaphor, NA, English), testid: 0
Successfully processed folder: Preservation of Craftsmanship(country, city, metaphor, NA, English), testid: 1
Successfully processed folder: Preservation of Craftsmanship(country, city, metaphor, NA, English), testid: 2
Successfully processed folder: Preservation of Craftsmanship(country, city, metaphor, NA, English), testid: 3
Successfully processed folder: Structures Supporting Education(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Structures Supporting Education(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Structures Supporting Education(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Structures Supporting Education(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Facilitators of Learning and Connection(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Facilitators of Learning and Connection(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Facilitators of Learning and Connection(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Facilitators of Learning and Connection(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Public Art Forms(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Public Art Forms(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Public Art Forms(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Public Art Forms(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Community Gatherings(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Community Gatherings(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Community Gatherings(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Community Gatherings(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Responsibilities of Care(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Responsibilities of Care(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Responsibilities of Care(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Responsibilities of Care(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Promoting Sustainability(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Promoting Sustainability(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Promoting Sustainability(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Promoting Sustainability(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Preserving Cultural Identity(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Preserving Cultural Identity(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Preserving Cultural Identity(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Preserving Cultural Identity(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Acts of Giving Back(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Acts of Giving Back(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Acts of Giving Back(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Acts of Giving Back(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Physical Activities Promoting Wellness(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Physical Activities Promoting Wellness(country, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Physical Activities Promoting Wellness(country, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Physical Activities Promoting Wellness(country, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Natural vs. Man-made Structures(country, city, relation, NA, English), testid: 0
Successfully processed folder: Natural vs. Man-made Structures(country, city, relation, NA, English), testid: 1
Successfully processed folder: Natural vs. Man-made Structures(country, city, relation, NA, English), testid: 2
Successfully processed folder: Natural vs. Man-made Structures(country, city, relation, NA, English), testid: 3
Successfully processed folder: Contrasting Approaches(country, city, relation, NA, English), testid: 0
Successfully processed folder: Contrasting Approaches(country, city, relation, NA, English), testid: 1
