Successfully processed folder: Elements of Slavic Folklore(myth, stuff, relation, other, Russian), testid: 0
Successfully processed folder: Elements of Slavic Folklore(myth, stuff, relation, other, Russian), testid: 1
Successfully processed folder: Elements of Slavic Folklore(myth, stuff, relation, other, Russian), testid: 2
Successfully processed folder: Elements of Slavic Folklore(myth, stuff, relation, other, Russian), testid: 3
Successfully processed folder: Elements of the La Llorona Myth(stuff, myth, relation, Latin American, Spanish), testid: 0
Successfully processed folder: Elements of the La Llorona Myth(stuff, myth, relation, Latin American, Spanish), testid: 1
Successfully processed folder: Elements of the La Llorona Myth(stuff, myth, relation, Latin American, Spanish), testid: 2
Successfully processed folder: Elements of the La Llorona Myth(stuff, myth, relation, Latin American, Spanish), testid: 3
Successfully processed folder: Cultural Artifacts(stuff, culture, relation, other, English), testid: 0
Successfully processed folder: Cultural Artifacts(stuff, culture, relation, other, English), testid: 1
Successfully processed folder: Cultural Artifacts(stuff, culture, relation, other, English), testid: 2
Successfully processed folder: Cultural Artifacts(stuff, culture, relation, other, English), testid: 3
Successfully processed folder: Contrasting Forces(myth, stuff, relation, other, Russian), testid: 0
Successfully processed folder: Contrasting Forces(myth, stuff, relation, other, Russian), testid: 1
Successfully processed folder: Contrasting Forces(myth, stuff, relation, other, Russian), testid: 2
Successfully processed folder: Contrasting Forces(myth, stuff, relation, other, Russian), testid: 3
Successfully processed folder: Shapes and Arrangement(stuff, cartoon or game, relation, other, Russian), testid: 0
Successfully processed folder: Shapes and Arrangement(stuff, cartoon or game, relation, other, Russian), testid: 1
Successfully processed folder: Shapes and Arrangement(stuff, cartoon or game, relation, other, Russian), testid: 2
Successfully processed folder: Shapes and Arrangement(stuff, cartoon or game, relation, other, Russian), testid: 3
Successfully processed folder: Artistic Expressions of Spanish Culture(stuff, culture, mutual elements, Non-English European, Spanish), testid: 0
Successfully processed folder: Artistic Expressions of Spanish Culture(stuff, culture, mutual elements, Non-English European, Spanish), testid: 1
Successfully processed folder: Artistic Expressions of Spanish Culture(stuff, culture, mutual elements, Non-English European, Spanish), testid: 2
Successfully processed folder: Artistic Expressions of Spanish Culture(stuff, culture, mutual elements, Non-English European, Spanish), testid: 3
Successfully processed folder: Mimic in Life(stuff, sense, relation, NA, English), testid: 0
Successfully processed folder: Mimic in Life(stuff, sense, relation, NA, English), testid: 1
Successfully processed folder: Mimic in Life(stuff, sense, relation, NA, English), testid: 2
Successfully processed folder: Mimic in Life(stuff, sense, relation, NA, English), testid: 3
Successfully processed folder: Natural Sweet Foods(stuff, sense, mutual elements, NA, English), testid: 0
Successfully processed folder: Natural Sweet Foods(stuff, sense, mutual elements, NA, English), testid: 1
Successfully processed folder: Natural Sweet Foods(stuff, sense, mutual elements, NA, English), testid: 2
Successfully processed folder: Natural Sweet Foods(stuff, sense, mutual elements, NA, English), testid: 3
Successfully processed folder: Regionally Characteristic Products(culture, culture, mutual elements, other, English), testid: 0
Successfully processed folder: Regionally Characteristic Products(culture, culture, mutual elements, other, English), testid: 1
Successfully processed folder: Regionally Characteristic Products(culture, culture, mutual elements, other, English), testid: 2
Successfully processed folder: Regionally Characteristic Products(culture, culture, mutual elements, other, English), testid: 3
Successfully processed folder: Inheritance and Protection(art, animal, relation, other, Russian), testid: 0
Successfully processed folder: Inheritance and Protection(art, animal, relation, other, Russian), testid: 1
Successfully processed folder: Inheritance and Protection(art, animal, relation, other, Russian), testid: 2
Successfully processed folder: Inheritance and Protection(art, animal, relation, other, Russian), testid: 3
Successfully processed folder: Decoration and Beauty(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Decoration and Beauty(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Decoration and Beauty(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Decoration and Beauty(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Positive and negative(stuff, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Positive and negative(stuff, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Positive and negative(stuff, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Positive and negative(stuff, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Individual and Family(stuff, stuff, relation, NA, chinese), testid: 0
