Successfully processed folder: Homophones related to musical notes(sense, music, relation, NA, English), testid: 0
Successfully processed folder: Homophones related to musical notes(sense, music, relation, NA, English), testid: 1
Successfully processed folder: Homophones related to musical notes(sense, music, relation, NA, English), testid: 2
Successfully processed folder: Homophones related to musical notes(sense, music, relation, NA, English), testid: 3
Successfully processed folder: Songs reflecting themes of freedom and imagination(art, music, relation, NA, English), testid: 0
Successfully processed folder: Songs reflecting themes of freedom and imagination(art, music, relation, NA, English), testid: 1
Successfully processed folder: Songs reflecting themes of freedom and imagination(art, music, relation, NA, English), testid: 2
Successfully processed folder: Songs reflecting themes of freedom and imagination(art, music, relation, NA, English), testid: 3
Successfully processed folder: Transformation(music, number, relation, NA, English), testid: 0
Successfully processed folder: Transformation(music, number, relation, NA, English), testid: 1
Successfully processed folder: Transformation(music, number, relation, NA, English), testid: 2
Successfully processed folder: Transformation(music, number, relation, NA, English), testid: 3
Successfully processed folder: Numerical significance linking music(music, number, relation, NA, English), testid: 0
Successfully processed folder: Numerical significance linking music(music, number, relation, NA, English), testid: 1
Successfully processed folder: Numerical significance linking music(music, number, relation, NA, English), testid: 2
Successfully processed folder: Numerical significance linking music(music, number, relation, NA, English), testid: 3
Successfully processed folder: Musical terms linked to similar-sounding English words(music, sense, relation, NA, English), testid: 0
Successfully processed folder: Musical terms linked to similar-sounding English words(music, sense, relation, NA, English), testid: 1
Successfully processed folder: Musical terms linked to similar-sounding English words(music, sense, relation, NA, English), testid: 2
Successfully processed folder: Musical terms linked to similar-sounding English words(music, sense, relation, NA, English), testid: 3
Successfully processed folder: Mathematical concepts linked to artistic(art, STEM, relation, NA, English), testid: 0
Successfully processed folder: Mathematical concepts linked to artistic(art, STEM, relation, NA, English), testid: 1
Successfully processed folder: Mathematical concepts linked to artistic(art, STEM, relation, NA, English), testid: 2
Successfully processed folder: Mathematical concepts linked to artistic(art, STEM, relation, NA, English), testid: 3
Successfully processed folder: Significant milestones in art and architecture(art, stuff, relation, NA, English), testid: 0
Successfully processed folder: Significant milestones in art and architecture(art, stuff, relation, NA, English), testid: 1
Successfully processed folder: Significant milestones in art and architecture(art, stuff, relation, NA, English), testid: 2
Successfully processed folder: Significant milestones in art and architecture(art, stuff, relation, NA, English), testid: 3
Successfully processed folder: Pivotal moments in art(art, history, relation, NA, English), testid: 0
Successfully processed folder: Pivotal moments in art(art, history, relation, NA, English), testid: 1
Successfully processed folder: Pivotal moments in art(art, history, relation, NA, English), testid: 2
Successfully processed folder: Pivotal moments in art(art, history, relation, NA, English), testid: 3
Successfully processed folder: events influencing cultural and artistic movements(art, history, relation, NA, English), testid: 0
Successfully processed folder: events influencing cultural and artistic movements(art, history, relation, NA, English), testid: 1
Successfully processed folder: events influencing cultural and artistic movements(art, history, relation, NA, English), testid: 2
Successfully processed folder: events influencing cultural and artistic movements(art, history, relation, NA, English), testid: 3
Successfully processed folder: Pivotal moments(art, sense, relation, NA, English), testid: 0
Successfully processed folder: Pivotal moments(art, sense, relation, NA, English), testid: 1
Successfully processed folder: Pivotal moments(art, sense, relation, NA, English), testid: 2
Successfully processed folder: Pivotal moments(art, sense, relation, NA, English), testid: 3
Successfully processed folder: Similar Emotional Evocation(art, sense, relation, NA, English), testid: 0
Successfully processed folder: Similar Emotional Evocation(art, sense, relation, NA, English), testid: 1
Successfully processed folder: Similar Emotional Evocation(art, sense, relation, NA, English), testid: 2
Successfully processed folder: Similar Emotional Evocation(art, sense, relation, NA, English), testid: 3
Successfully processed folder: Emotional Elegance(art, sense, relation, NA, English), testid: 0
Successfully processed folder: Emotional Elegance(art, sense, relation, NA, English), testid: 1
