Successfully processed folder: Culture and Art three(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art three(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art three(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art three(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art four(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art four(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art four(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art four(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art five(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art five(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art five(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art five(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art six(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art six(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art six(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art six(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art seven(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art seven(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art seven(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art seven(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art eight(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art eight(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art eight(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art eight(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art nine(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art nine(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art nine(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art nine(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art ten(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art ten(animal, country, relation, USAEnglish, English), testid: 1
