Judge results for folder Sports Bar(visible, sports, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder Sports Bar(visible, sports, relation, USAEnglish, English), judgeid 2 updated.
Judge results for folder Sports Bar(visible, sports, relation, USAEnglish, English), judgeid 3 updated.
Judge results for folder Sports Bar(visible, sports, relation, USAEnglish, English), judgeid 4 updated.
Judge results for folder Sports Bar(visible, sports, relation, USAEnglish, English), judgeid 5 updated.
Judge results for folder The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), judgeid 2 updated.
Judge results for folder The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), judgeid 3 updated.
Judge results for folder The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), judgeid 4 updated.
Judge results for folder The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), judgeid 5 updated.
Judge results for folder The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), judgeid 6 updated.
Judge results for folder The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), judgeid 7 updated.
Judge results for folder 乒乓外交(invisible, sports, relation, East Asia, Chinese), judgeid 1 updated.
Judge results for folder 功夫(visible, sports, relation, East Asia, Chinese), judgeid 1 updated.
Judge results for folder 功夫(visible, sports, relation, East Asia, Chinese), judgeid 2 updated.
Judge results for folder 功夫(visible, sports, relation, East Asia, Chinese), judgeid 3 updated.
Judge results for folder 功夫(visible, sports, relation, East Asia, Chinese), judgeid 4 updated.
Judge results for folder 功夫(visible, sports, relation, East Asia, Chinese), judgeid 5 updated.
Judge results for folder 蹴鞠(visible, sports, relation, East Asia, Chinese), judgeid 1 updated.
Judge results for folder 蹴鞠(visible, sports, relation, East Asia, Chinese), judgeid 2 updated.
Judge results for folder 蹴鞠(visible, sports, relation, East Asia, Chinese), judgeid 3 updated.
Judge results for folder Белка(visible, animal, relation, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Беркут(visible, animal, relation, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Беркут(visible, animal, relation, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Беркут(visible, animal, relation, Non-English European, Russian), judgeid 3 updated.
Judge results for folder Беркут(visible, animal, relation, Non-English European, Russian), judgeid 4 updated.
Judge results for folder Беркут(visible, animal, relation, Non-English European, Russian), judgeid 5 updated.
Judge results for folder حصان عربي(visible, animal, relation, Arabic-Islamic, Arabic), judgeid 1 updated.
Judge results for folder نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), judgeid 1 updated.
Judge results for folder نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), judgeid 2 updated.
Judge results for folder نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), judgeid 3 updated.
Judge results for folder نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), judgeid 4 updated.
Judge results for folder نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), judgeid 5 updated.
Judge results for folder British Fox Hunting(visible, animal, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder British Fox Hunting(visible, animal, relation, USAEnglish, English), judgeid 2 updated.
Judge results for folder British Fox Hunting(visible, animal, relation, USAEnglish, English), judgeid 3 updated.
Judge results for folder British Fox Hunting(visible, animal, relation, USAEnglish, English), judgeid 4 updated.
Judge results for folder British Fox Hunting(visible, animal, relation, USAEnglish, English), judgeid 5 updated.
Judge results for folder British Fox Hunting(visible, animal, relation, USAEnglish, English), judgeid 6 updated.
Judge results for folder British Fox Hunting(visible, animal, relation, USAEnglish, English), judgeid 7 updated.
Judge results for folder Scottish Highland Cattle(visible, animal, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder Nordic Bear(visible, animal, relation, other, English), judgeid 1 updated.
Judge results for folder Nordic Bear(visible, animal, relation, other, English), judgeid 2 updated.
Judge results for folder Nordic Bear(visible, animal, relation, other, English), judgeid 3 updated.
Judge results for folder Nordic Bear(visible, animal, relation, other, English), judgeid 4 updated.
Judge results for folder Nordic Bear(visible, animal, relation, other, English), judgeid 5 updated.
Judge results for folder White Storks in Poland(visible, animal, relation, Non-English European, English), judgeid 1 updated.
Judge results for folder White Storks in Poland(visible, animal, relation, Non-English European, English), judgeid 2 updated.
Judge results for folder White Storks in Poland(visible, animal, relation, Non-English European, English), judgeid 3 updated.
Judge results for folder White Storks in Poland(visible, animal, relation, Non-English European, English), judgeid 4 updated.
Judge results for folder White Storks in Poland(visible, animal, relation, Non-English European, English), judgeid 5 updated.
Judge results for folder Panda(visible, animal, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Panda(visible, animal, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Panda(visible, animal, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Panda(visible, animal, relation, East Asia, English), judgeid 4 updated.
Judge results for folder Panda(visible, animal, relation, East Asia, English), judgeid 5 updated.
Judge results for folder Karasu (Crow in Japanese)(visible, animal, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Karasu (Crow in Japanese)(visible, animal, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Chinese Dragon(visible, animal, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Chinese Dragon(visible, animal, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Chinese Dragon(visible, animal, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Moraingy(visible, sports, relation, other, English), judgeid 1 updated.
Judge results for folder Moraingy(visible, sports, relation, other, English), judgeid 2 updated.
Judge results for folder Moraingy(visible, sports, relation, other, English), judgeid 3 updated.
Judge results for folder Maradona 1986(invisible, sports, relation, NA, English), judgeid 1 updated.
Judge results for folder Maradona 1986(invisible, sports, relation, NA, English), judgeid 2 updated.
Judge results for folder Maradona 1986(invisible, sports, relation, NA, English), judgeid 3 updated.
Judge results for folder Maradona 1986(invisible, sports, relation, NA, English), judgeid 4 updated.
Judge results for folder Maradona 1986(invisible, sports, relation, NA, English), judgeid 5 updated.
Judge results for folder Phillies home run(visible, sports, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder Phillies home run(visible, sports, relation, USAEnglish, English), judgeid 2 updated.
Judge results for folder Phillies home run(visible, sports, relation, USAEnglish, English), judgeid 3 updated.
Judge results for folder Olympic spirit(invisible, sports, relation, NA, English), judgeid 1 updated.
Judge results for folder Olympic spirit(invisible, sports, relation, NA, English), judgeid 2 updated.
Judge results for folder Olympic spirit(invisible, sports, relation, NA, English), judgeid 3 updated.
Judge results for folder Olympic spirit(invisible, sports, relation, NA, English), judgeid 4 updated.
Judge results for folder Olympic spirit(invisible, sports, relation, NA, English), judgeid 5 updated.
Judge results for folder Olympic Historic Moments(invisible, sports, relation, NA, English), judgeid 1 updated.
Judge results for folder Olympic Historic Moments(invisible, sports, relation, NA, English), judgeid 2 updated.
Judge results for folder Olympic Historic Moments(invisible, sports, relation, NA, English), judgeid 3 updated.
Judge results for folder Olympic Historic Moments(invisible, sports, relation, NA, English), judgeid 4 updated.
Judge results for folder Olympic Historic Moments(invisible, sports, relation, NA, English), judgeid 5 updated.
Judge results for folder Mooncake(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Mooncake(visible, food, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Mooncake(visible, food, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Mooncake(visible, food, relation, East Asia, English), judgeid 4 updated.
Judge results for folder Mooncake(visible, food, relation, East Asia, English), judgeid 5 updated.
Judge results for folder longevity noodles(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder longevity noodles(visible, food, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 4 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 5 updated.
Judge results for folder Dado(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Dado(visible, food, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Dado(visible, food, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Dado(visible, food, relation, East Asia, English), judgeid 4 updated.
Judge results for folder Dado(visible, food, relation, East Asia, English), judgeid 5 updated.
Judge results for folder Chinese Cured Meats(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Chinese Cured Meats(visible, food, relation, East Asia, English), judgeid 2 updated.
