Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 6 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 7 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 8 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 9 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 10 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 11 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 1 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 2 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 3 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 4 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 5 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 6 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 7 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 8 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Christmas(invisible, animal, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Christmas(invisible, animal, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Christmas(invisible, animal, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Royal Pets(visible, animal, metaphor, USAEnglish, English), judgeid 1 updated.
Judge results for folder Royal Pets(visible, animal, metaphor, USAEnglish, English), judgeid 2 updated.
Judge results for folder Royal Pets(visible, animal, metaphor, USAEnglish, English), judgeid 3 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 6 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 7 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 8 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 1 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 2 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 3 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 4 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 5 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 6 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 7 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 8 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 1 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 2 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 3 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 4 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 5 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 6 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 7 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 8 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 9 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 10 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 11 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 1 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 2 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 3 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 4 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 5 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 6 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 7 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 1 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 2 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 3 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 4 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 5 updated.
Judge results for folder 蚕丝(invisible, animal, relation, East Asia, Chinese), judgeid 1 updated.
Judge results for folder 蚕丝(invisible, animal, relation, East Asia, Chinese), judgeid 2 updated.
Judge results for folder 蚕丝(invisible, animal, relation, East Asia, Chinese), judgeid 3 updated.
Judge results for folder SunWukong(visible, animal, metaphor, East Asia, English), judgeid 1 updated.
Judge results for folder SunWukong(visible, animal, metaphor, East Asia, English), judgeid 2 updated.
Judge results for folder SunWukong(visible, animal, metaphor, East Asia, English), judgeid 3 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 1 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 2 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 3 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 4 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 5 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 6 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 7 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 8 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 9 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 10 updated.
Judge results for folder predation(visible, animal, relation, NA, English), judgeid 11 updated.
Judge results for folder Russia(invisible, animal, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Corrida de toros(visible, animal, relation, Non-English European, Spanish), judgeid 1 updated.
Judge results for folder Corrida de toros(visible, animal, relation, Non-English European, Spanish), judgeid 2 updated.
Judge results for folder Corrida de toros(visible, animal, relation, Non-English European, Spanish), judgeid 3 updated.
Judge results for folder Corrida de toros(visible, animal, relation, Non-English European, Spanish), judgeid 4 updated.
Judge results for folder Corrida de toros(visible, animal, relation, Non-English European, Spanish), judgeid 5 updated.
Judge results for folder Símbolo de paz(visible, animal, metaphor, Non-English European, Spanish), judgeid 1 updated.
Judge results for folder Símbolo de paz(visible, animal, metaphor, Non-English European, Spanish), judgeid 2 updated.
Judge results for folder Два медведя в одной берлоге не живут(invisible, animal, metaphor, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Два медведя в одной берлоге не живут(invisible, animal, metaphor, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), judgeid 3 updated.
Judge results for folder Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), judgeid 4 updated.
Judge results for folder Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), judgeid 5 updated.
Failed to parse JSON response.
Failed to parse JSON response.
Judge results for folder Tomahawk Steak(visible, food, relation, NA, English), judgeid 1 updated.
Judge results for folder Tomahawk Steak(visible, food, relation, NA, English), judgeid 2 updated.
Judge results for folder Tomahawk Steak(visible, food, relation, NA, English), judgeid 3 updated.
Judge results for folder Tomahawk Steak(visible, food, relation, NA, English), judgeid 4 updated.
Judge results for folder Tomahawk Steak(visible, food, relation, NA, English), judgeid 5 updated.
Judge results for folder Peking Duck(invisible, food, mutual elements, East Asia, English), judgeid 1 updated.
Judge results for folder Peking Duck(invisible, food, mutual elements, East Asia, English), judgeid 2 updated.
Judge results for folder 汤圆(invisible, food, mutual elements, East Asia, Chinese), judgeid 1 updated.
Judge results for folder 汤圆(invisible, food, mutual elements, East Asia, Chinese), judgeid 2 updated.
Judge results for folder 汤圆(invisible, food, mutual elements, East Asia, Chinese), judgeid 3 updated.
