Judge results for folder talking ability(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder talking ability(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder running ability(visible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder running ability(visible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder running ability(visible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder running ability(visible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder running ability(visible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder jumping ability(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder jumping ability(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder jumping ability(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Painting ability(invisible, ability, relation, NA, English), judgeid 1 updated.
Judge results for folder Painting ability(invisible, ability, relation, NA, English), judgeid 2 updated.
Judge results for folder Painting ability(invisible, ability, relation, NA, English), judgeid 3 updated.
Judge results for folder Painting ability(invisible, ability, relation, NA, English), judgeid 4 updated.
Judge results for folder Painting ability(invisible, ability, relation, NA, English), judgeid 5 updated.
Judge results for folder brightness and power(visible, ability, relation, NA, English), judgeid 1 updated.
Judge results for folder swimming ability(visible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder swimming ability(visible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder swimming ability(visible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder swimming ability(visible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder swimming ability(visible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder cooking ability(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder cooking ability(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder cooking ability(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder cooking ability(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder cooking ability(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder smelling ability(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder smelling ability(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder smelling ability(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder smelling ability(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder smelling ability(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder smelling ability(invisible, ability, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder smelling ability(invisible, ability, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder smelling ability(invisible, ability, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder writing ability(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder writing ability(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder writing ability(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder writing ability(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder writing ability(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder vision(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder vision(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder vision(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder vision(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder vision(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Physical Prowess(visible, ability, relation, NA, English), judgeid 1 updated.
Judge results for folder Physical Prowess(visible, ability, relation, NA, English), judgeid 2 updated.
Judge results for folder Physical Prowess(visible, ability, relation, NA, English), judgeid 3 updated.
Judge results for folder Mental Acuity(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Mental Acuity(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Mental Acuity(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Mental Acuity(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Mental Acuity(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Leadership(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Leadership(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Leadership(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Leadership(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Leadership(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder physical prowess and control(visible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder physical prowess and control(visible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder physical prowess and control(visible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder physical prowess and control(visible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder physical prowess and control(visible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder balance ability(visible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder balance ability(visible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder balance ability(visible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder balance ability(visible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder balance ability(visible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder growth ability(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder growth ability(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder growth ability(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder growth ability(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder growth ability(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder management ability(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder management ability(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder management ability(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder management ability(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder management ability(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Communication Skills(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Communication Skills(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Communication Skills(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Communication Skills(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Communication Skills(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Communication Skills(invisible, ability, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Communication Skills(invisible, ability, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder decision-making ability(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder decision-making ability(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder decision-making ability(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder decision-making ability(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder decision-making ability(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder teamwork ability(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder teamwork ability(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder teamwork ability(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder teamwork ability(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder teamwork ability(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder executive force(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder executive force(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder executive force(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder executive force(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder executive force(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder eyesight(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder eyesight(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder eyesight(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder eyesight(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder eyesight(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder opportunity and ability(invisible, ability, relation, NA, English), judgeid 1 updated.
Judge results for folder opportunity and ability(invisible, ability, relation, NA, English), judgeid 2 updated.
Judge results for folder opportunity and ability(invisible, ability, relation, NA, English), judgeid 3 updated.
Judge results for folder opportunity and ability(invisible, ability, relation, NA, English), judgeid 4 updated.
Judge results for folder opportunity and ability(invisible, ability, relation, NA, English), judgeid 5 updated.
Judge results for folder opportunity and ability(invisible, ability, relation, NA, English), judgeid 6 updated.
Judge results for folder opportunity and ability(invisible, ability, relation, NA, English), judgeid 7 updated.
Judge results for folder opportunity and ability(invisible, ability, relation, NA, English), judgeid 8 updated.
Judge results for folder Curiosity(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Curiosity(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Curiosity(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Curiosity(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Curiosity(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder ability to grow(invisible, ability, relation, NA, English), judgeid 1 updated.
Judge results for folder ability to grow(invisible, ability, relation, NA, English), judgeid 2 updated.
Judge results for folder ability to grow(invisible, ability, relation, NA, English), judgeid 3 updated.
Judge results for folder Potential to perform(invisible, ability, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Potential to perform(invisible, ability, metaphor, NA, English), judgeid 2 updated.
Judge results for folder message passing(visible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder message passing(visible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder message passing(visible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder message passing(visible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder message passing(visible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Cryptography(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
