Judge results for folder Tea Ceremony(culture, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Tea Ceremony(culture, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Tea Ceremony(culture, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Tea Ceremony(culture, relation, East Asia, English), judgeid 4 updated.
Judge results for folder Tea Ceremony(culture, relation, East Asia, English), judgeid 5 updated.
Judge results for folder Tea Ceremony(culture, relation, East Asia, English), judgeid 6 updated.
Judge results for folder Tea Ceremony(culture, relation, East Asia, English), judgeid 7 updated.
Judge results for folder Tea Ceremony(culture, relation, East Asia, English), judgeid 8 updated.
Judge results for folder Wedding Traditions(culture, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Wedding Traditions(culture, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Funeral Rites(culture, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Funeral Rites(culture, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Funeral Rites(culture, mutual elements, Non-English European, English), judgeid 3 updated.
Judge results for folder Funeral Rites(culture, mutual elements, Non-English European, English), judgeid 4 updated.
Judge results for folder Funeral Rites(culture, mutual elements, Non-English European, English), judgeid 5 updated.
Judge results for folder Funeral Rites(culture, mutual elements, Non-English European, English), judgeid 6 updated.
Judge results for folder Funeral Rites(culture, mutual elements, Non-English European, English), judgeid 7 updated.
Judge results for folder Funeral Rites(culture, mutual elements, Non-English European, English), judgeid 8 updated.
Judge results for folder Coming-of-Age Rituals(culture, relation, Non-English European, English), judgeid 1 updated.
Judge results for folder Coming-of-Age Rituals(culture, relation, Non-English European, English), judgeid 2 updated.
Judge results for folder Coming-of-Age Rituals(culture, relation, Non-English European, English), judgeid 3 updated.
Judge results for folder Coming-of-Age Rituals(culture, relation, Non-English European, English), judgeid 4 updated.
Judge results for folder Coming-of-Age Rituals(culture, relation, Non-English European, English), judgeid 5 updated.
Judge results for folder Coming-of-Age Rituals(culture, relation, Non-English European, English), judgeid 6 updated.
Judge results for folder Coming-of-Age Rituals(culture, relation, Non-English European, English), judgeid 7 updated.
Judge results for folder Coming-of-Age Rituals(culture, relation, Non-English European, English), judgeid 8 updated.
Judge results for folder Harvest Festivals(culture, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Harvest Festivals(culture, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Harvest Festivals(culture, mutual elements, Non-English European, English), judgeid 3 updated.
Judge results for folder Harvest Festivals(culture, mutual elements, Non-English European, English), judgeid 4 updated.
Judge results for folder Harvest Festivals(culture, mutual elements, Non-English European, English), judgeid 5 updated.
Judge results for folder Harvest Festivals(culture, mutual elements, Non-English European, English), judgeid 6 updated.
Judge results for folder Harvest Festivals(culture, mutual elements, Non-English European, English), judgeid 7 updated.
Judge results for folder Harvest Festivals(culture, mutual elements, Non-English European, English), judgeid 8 updated.
Judge results for folder Traditional Music(culture, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Traditional Music(culture, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Traditional Music(culture, mutual elements, Non-English European, English), judgeid 3 updated.
Judge results for folder Traditional Music(culture, mutual elements, Non-English European, English), judgeid 4 updated.
Judge results for folder Traditional Music(culture, mutual elements, Non-English European, English), judgeid 5 updated.
Judge results for folder Folk Dance(culture, relation, Non-English European, English), judgeid 1 updated.
Judge results for folder Folk Dance(culture, relation, Non-English European, English), judgeid 2 updated.
Judge results for folder Folk Dance(culture, relation, Non-English European, English), judgeid 3 updated.
Judge results for folder Folk Dance(culture, relation, Non-English European, English), judgeid 4 updated.
Judge results for folder Folk Dance(culture, relation, Non-English European, English), judgeid 5 updated.
Judge results for folder Folk Dance(culture, relation, Non-English European, English), judgeid 6 updated.
Judge results for folder Folk Dance(culture, relation, Non-English European, English), judgeid 7 updated.
Judge results for folder Folk Dance(culture, relation, Non-English European, English), judgeid 8 updated.
Judge results for folder National Dress(culture, relation, Non-English European, English), judgeid 1 updated.
Judge results for folder National Dress(culture, relation, Non-English European, English), judgeid 2 updated.
Judge results for folder National Dress(culture, relation, Non-English European, English), judgeid 3 updated.
Judge results for folder National Dress(culture, relation, Non-English European, English), judgeid 4 updated.
Judge results for folder National Dress(culture, relation, Non-English European, English), judgeid 5 updated.
Judge results for folder National Dress(culture, relation, Non-English European, English), judgeid 6 updated.
Judge results for folder National Dress(culture, relation, Non-English European, English), judgeid 7 updated.
Judge results for folder National Dress(culture, relation, Non-English European, English), judgeid 8 updated.
Judge results for folder Cultural Etiquette(culture, relation, Non-English European, English), judgeid 1 updated.
Judge results for folder Cultural Etiquette(culture, relation, Non-English European, English), judgeid 2 updated.
Judge results for folder Cultural Etiquette(culture, relation, Non-English European, English), judgeid 3 updated.
Judge results for folder Cultural Etiquette(culture, relation, Non-English European, English), judgeid 4 updated.
Judge results for folder Cultural Etiquette(culture, relation, Non-English European, English), judgeid 5 updated.
Judge results for folder Cultural Etiquette(culture, relation, Non-English European, English), judgeid 6 updated.
Judge results for folder Cultural Etiquette(culture, relation, Non-English European, English), judgeid 7 updated.
Judge results for folder Cultural Etiquette(culture, relation, Non-English European, English), judgeid 8 updated.
Judge results for folder Taboo Subjects(culture, relation, Non-English European, English), judgeid 1 updated.
Judge results for folder Taboo Subjects(culture, relation, Non-English European, English), judgeid 2 updated.
Judge results for folder Taboo Subjects(culture, relation, Non-English European, English), judgeid 3 updated.
Judge results for folder Body Language(culture, relation, NA, English), judgeid 1 updated.
Judge results for folder Body Language(culture, relation, NA, English), judgeid 2 updated.
Judge results for folder Body Language(culture, relation, NA, English), judgeid 3 updated.
Judge results for folder Body Language(culture, relation, NA, English), judgeid 4 updated.
Judge results for folder Body Language(culture, relation, NA, English), judgeid 5 updated.
Judge results for folder Body Language(culture, relation, NA, English), judgeid 6 updated.
Judge results for folder Body Language(culture, relation, NA, English), judgeid 7 updated.
Judge results for folder Body Language(culture, relation, NA, English), judgeid 8 updated.
Judge results for folder Oktoberfest(culture, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Oktoberfest(culture, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Oktoberfest(culture, mutual elements, Non-English European, English), judgeid 3 updated.
Judge results for folder Oktoberfest(culture, mutual elements, Non-English European, English), judgeid 4 updated.
Judge results for folder Oktoberfest(culture, mutual elements, Non-English European, English), judgeid 5 updated.
Judge results for folder Oktoberfest(culture, mutual elements, Non-English European, English), judgeid 6 updated.
Judge results for folder Oktoberfest(culture, mutual elements, Non-English European, English), judgeid 7 updated.
Judge results for folder Oktoberfest(culture, mutual elements, Non-English European, English), judgeid 8 updated.
Judge results for folder Hollywood  Walk of Fame star(culture, relation, NA, English), judgeid 1 updated.
Judge results for folder Hollywood  Walk of Fame star(culture, relation, NA, English), judgeid 2 updated.
Judge results for folder Hollywood  Walk of Fame star(culture, relation, NA, English), judgeid 3 updated.
Judge results for folder Hollywood  Walk of Fame star(culture, relation, NA, English), judgeid 4 updated.
Judge results for folder Hollywood  Walk of Fame star(culture, relation, NA, English), judgeid 5 updated.
Judge results for folder Hollywood  Walk of Fame star(culture, relation, NA, English), judgeid 6 updated.
Judge results for folder Hollywood  Walk of Fame star(culture, relation, NA, English), judgeid 7 updated.
Judge results for folder Hollywood  Walk of Fame star(culture, relation, NA, English), judgeid 8 updated.
Judge results for folder Fourth of July  Fireworks(culture, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder Fourth of July  Fireworks(culture, relation, USAEnglish, English), judgeid 2 updated.
Judge results for folder Fourth of July  Fireworks(culture, relation, USAEnglish, English), judgeid 3 updated.
Judge results for folder Fourth of July  Fireworks(culture, relation, USAEnglish, English), judgeid 4 updated.
Judge results for folder Fourth of July  Fireworks(culture, relation, USAEnglish, English), judgeid 5 updated.
Judge results for folder Fourth of July  Fireworks(culture, relation, USAEnglish, English), judgeid 6 updated.
Judge results for folder Fourth of July  Fireworks(culture, relation, USAEnglish, English), judgeid 7 updated.
Judge results for folder Fourth of July  Fireworks(culture, relation, USAEnglish, English), judgeid 8 updated.
Judge results for folder TLDR  A very long article(culture, relation, NA, English), judgeid 1 updated.
Judge results for folder TLDR  A very long article(culture, relation, NA, English), judgeid 2 updated.
Judge results for folder Baseball  Hotdog(culture, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder Baseball  Hotdog(culture, relation, USAEnglish, English), judgeid 2 updated.
Judge results for folder Baseball  Hotdog(culture, relation, USAEnglish, English), judgeid 3 updated.
Judge results for folder Baseball  Hotdog(culture, relation, USAEnglish, English), judgeid 4 updated.
Judge results for folder Baseball  Hotdog(culture, relation, USAEnglish, English), judgeid 5 updated.
Judge results for folder Baseball  Hotdog(culture, relation, USAEnglish, English), judgeid 6 updated.
Judge results for folder Baseball  Hotdog(culture, relation, USAEnglish, English), judgeid 7 updated.
Judge results for folder Baseball  Hotdog(culture, relation, USAEnglish, English), judgeid 8 updated.
Judge results for folder Mona Lisa  Sfumato technique description(art, relation, NA, English), judgeid 1 updated.
Judge results for folder Mona Lisa  Sfumato technique description(art, relation, NA, English), judgeid 2 updated.
Judge results for folder A melting clock  A dream sequence in a film(culture, relation, NA, English), judgeid 1 updated.
Judge results for folder A melting clock  A dream sequence in a film(culture, relation, NA, English), judgeid 2 updated.
Judge results for folder A melting clock  A dream sequence in a film(culture, relation, NA, English), judgeid 3 updated.
Judge results for folder A melting clock  A dream sequence in a film(culture, relation, NA, English), judgeid 4 updated.
Judge results for folder A melting clock  A dream sequence in a film(culture, relation, NA, English), judgeid 5 updated.
Judge results for folder A melting clock  A dream sequence in a film(culture, relation, NA, English), judgeid 6 updated.
Judge results for folder A melting clock  A dream sequence in a film(culture, relation, NA, English), judgeid 7 updated.
Judge results for folder A melting clock  A dream sequence in a film(culture, relation, NA, English), judgeid 8 updated.
Judge results for folder A Picasso portrait  Geometric shapes(art, relation, NA, English), judgeid 1 updated.
Judge results for folder A Picasso portrait  Geometric shapes(art, relation, NA, English), judgeid 2 updated.
Judge results for folder A Picasso portrait  Geometric shapes(art, relation, NA, English), judgeid 3 updated.
Judge results for folder A Picasso portrait  Geometric shapes(art, relation, NA, English), judgeid 4 updated.
Judge results for folder A Picasso portrait  Geometric shapes(art, relation, NA, English), judgeid 5 updated.
Judge results for folder A Picasso portrait  Geometric shapes(art, relation, NA, English), judgeid 6 updated.
Judge results for folder A Picasso portrait  Geometric shapes(art, relation, NA, English), judgeid 7 updated.
Judge results for folder A Picasso portrait  Geometric shapes(art, relation, NA, English), judgeid 8 updated.
Judge results for folder Ink brush  A character in kanji or hanja(art, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Ink brush  A character in kanji or hanja(art, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Ink brush  A character in kanji or hanja(art, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Ink brush  A character in kanji or hanja(art, relation, East Asia, English), judgeid 4 updated.
Judge results for folder Ink brush  A character in kanji or hanja(art, relation, East Asia, English), judgeid 5 updated.
Finish: Judge results all saved to ./gemini-1.5-pro-001_multi_judge.json
Finish: Combined results all saved to ./gemini-1.5-pro-001_multi_test_and_judge.json
