Successfully processed folder: Sports Bar(visible, sports, relation, USAEnglish, English), testid: 0
Successfully processed folder: Sports Bar(visible, sports, relation, USAEnglish, English), testid: 1
Successfully processed folder: Sports Bar(visible, sports, relation, USAEnglish, English), testid: 2
Successfully processed folder: Sports Bar(visible, sports, relation, USAEnglish, English), testid: 3
Successfully processed folder: Sports Bar(visible, sports, relation, USAEnglish, English), testid: 4
Successfully processed folder: Sports Bar(visible, sports, relation, USAEnglish, English), testid: 5
Successfully processed folder: The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), testid: 0
Successfully processed folder: The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), testid: 1
Successfully processed folder: The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), testid: 2
Successfully processed folder: The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), testid: 3
Successfully processed folder: The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), testid: 4
Successfully processed folder: The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), testid: 5
Successfully processed folder: The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), testid: 6
Successfully processed folder: The music(You'll Never Walk Alone)(invisible, sports, relation, USAEnglish, English), testid: 7
Successfully processed folder: 乒乓外交(invisible, sports, relation, East Asia, Chinese), testid: 0
Successfully processed folder: 乒乓外交(invisible, sports, relation, East Asia, Chinese), testid: 1
Successfully processed folder: 功夫(visible, sports, relation, East Asia, Chinese), testid: 0
Successfully processed folder: 功夫(visible, sports, relation, East Asia, Chinese), testid: 1
Successfully processed folder: 功夫(visible, sports, relation, East Asia, Chinese), testid: 2
Successfully processed folder: 功夫(visible, sports, relation, East Asia, Chinese), testid: 3
Successfully processed folder: 功夫(visible, sports, relation, East Asia, Chinese), testid: 4
Successfully processed folder: 功夫(visible, sports, relation, East Asia, Chinese), testid: 5
Successfully processed folder: 蹴鞠(visible, sports, relation, East Asia, Chinese), testid: 0
Successfully processed folder: 蹴鞠(visible, sports, relation, East Asia, Chinese), testid: 1
Successfully processed folder: 蹴鞠(visible, sports, relation, East Asia, Chinese), testid: 2
Successfully processed folder: 蹴鞠(visible, sports, relation, East Asia, Chinese), testid: 3
Successfully processed folder: Белка(visible, animal, relation, Non-English European, Russian), testid: 0
