Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 6 updated.
Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 9 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 1 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 2 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 3 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 4 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 5 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 6 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 7 updated.
Judge results for folder Countryside Tales (visible, animal, metaphor, USAEnglish, English), judgeid 8 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Pub(invisible, animal, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Christmas(invisible, animal, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Christmas(invisible, animal, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Christmas(invisible, animal, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 6 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 7 updated.
Judge results for folder Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), judgeid 8 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 1 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 2 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 3 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 4 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 5 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 6 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 7 updated.
Judge results for folder Frog(invisible, animal, relation, NA, English), judgeid 8 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 1 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 2 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 3 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 4 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 5 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 6 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 7 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 8 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 9 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 10 updated.
Judge results for folder dragon robe(invisible, animal, relation, East Asia, English), judgeid 11 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 1 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 2 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 3 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 4 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 5 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 6 updated.
Judge results for folder Jade Rabbit(invisible, animal, metaphor, East Asia, English), judgeid 7 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 1 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 2 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 3 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 4 updated.
Judge results for folder 猴子捞月(visible, animal, metaphor, East Asia, Chinese), judgeid 5 updated.
Judge results for folder 蚕丝(invisible, animal, relation, East Asia, Chinese), judgeid 1 updated.
Judge results for folder 蚕丝(invisible, animal, relation, East Asia, Chinese), judgeid 2 updated.
Judge results for folder 蚕丝(invisible, animal, relation, East Asia, Chinese), judgeid 3 updated.
