Judge results for folder Golden fleece(invisible, myth, metaphor, Non-English European, English) updated
Judge results for folder Pandora's box(invisible, myth, metaphor, Non-English European, English) updated
Judge results for folder Medusa's gaze(invisible, myth, metaphor, Non-English European, English) updated
Judge results for folder Trojan Horse(visible, myth, relation, Non-English European, English) updated
Judge results for folder Phoenix Rising(invisible, myth, relation, USAEnglish, English) updated
Judge results for folder Banshee's Wail(invisible, myth, relation, USAEnglish, English) updated
Judge results for folder Narcissus' reflection(invisible, myth, mutual elements, Non-English European, English) updated
Judge results for folder Loch Ness Monster(invisible, myth, mutual elements, Non-English European, English) updated
Judge results for folder Hole in one(visible, sport, mutual elements, other, English) updated
Judge results for folder Slam dunk(visible, sport, mutual elements, other, English) updated
Judge results for folder Grand Slam(invisible, sport, relation, other, English) updated
Judge results for folder Alley-oop(visible, sport, relation, other, English) updated
Judge results for folder Hattrick(invisible, sport, relation, USAEnglish, English) updated
Judge results for folder Buzzer-beater(invisible, sport, metaphor, other, English) updated
Judge results for folder Photo finish(invisible, sport, metaphor, other, English) updated
Judge results for folder Echolocation(invisible, animal, mutual elements, other, English) updated
Judge results for folder Hibernation(visible, animal, mutual elements, other, English) updated
Judge results for folder Bioluminescence(visible, animal, mutual elements, other, English) updated
Judge results for folder Symbiosis(invisible, animal, relation, other, English) updated
Judge results for folder Metamorphosis(invisible, animal, relation, other, English) updated
Judge results for folder Nocturnal(invisible, animal, metaphor, other, English) updated
Judge results for folder Endangered species(invisible, animal, metaphor, other, English) updated
Judge results for folder Prime number(invisible, STEM, mutual elements, other, English) updated
Judge results for folder Quantum computing(invisible, STEM, mutual elements, other, English) updated
Judge results for folder Palindromic Number(visible, STEM, relation, other, English) updated
Judge results for folder Perfect Number(invisible, STEM, relation, other, English) updated
Judge results for folder Bayes' theorem(invisible, STEM, metaphor, other, English) updated
Judge results for folder π (pi)(invisible, STEM, metaphor, other, English) updated
Judge results for folder Mise en place(invisible, food, mutual elements, other, English) updated
Judge results for folder Kosher(invisible, food, mutual elements, USAEnglish, English) updated
Judge results for folder Halal(invisible, food, relation, other, English) updated
Judge results for folder Sous-vide(visible, food, relation, other, English) updated
Judge results for folder Blanching(visible, food, metaphor, other, English) updated
Judge results for folder Koji Fermentation(visible, food, metaphor, East Asia, English) updated
Judge results for folder Archipelago(visible, country, mutual elements, Non-English European, English) updated
Judge results for folder Geopolitics(invisible, country, mutual elements, other, English) updated
Judge results for folder Secession(invisible, country, relation, USAEnglish, English) updated
Judge results for folder Sanctions(invisible, country, relation, other, English) updated
Judge results for folder Inflation(invisible, country, metaphor, other, English) updated
Judge results for folder Exclave(invisible, country, metaphor, other, English) updated
Judge results for folder Woodstock(invisible, city, mutual elements, USAEnglish, English) updated
Judge results for folder Skyscraper(visible, city, mutual elements, other, English) updated
Judge results for folder Liberty Bell(invisible, city, relation, USAEnglish, English) updated
Judge results for folder Motor City(visible, city, relation, USAEnglish, English) updated
Judge results for folder 鸟巢(invisible, city, metaphor, East Asia, Chinese) updated
Judge results for folder CRISPR gene editing(visible, STEM, mutual elements, other, English) updated
