Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 6
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 7
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 8
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 9
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 10
Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 11
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English), testid: 4
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English), testid: 5
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English), testid: 6
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English), testid: 7
Successfully processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English), testid: 8
Successfully processed folder: Pub(invisible, animal, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Pub(invisible, animal, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Pub(invisible, animal, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Pub(invisible, animal, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Pub(invisible, animal, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Pub(invisible, animal, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: Christmas(invisible, animal, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Christmas(invisible, animal, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Christmas(invisible, animal, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Christmas(invisible, animal, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Royal Pets(visible, animal, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Royal Pets(visible, animal, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Royal Pets(visible, animal, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Royal Pets(visible, animal, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), testid: 6
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), testid: 7
Successfully processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English), testid: 8
Successfully processed folder: Frog(invisible, animal, relation, NA, English), testid: 0
Successfully processed folder: Frog(invisible, animal, relation, NA, English), testid: 1
Successfully processed folder: Frog(invisible, animal, relation, NA, English), testid: 2
Successfully processed folder: Frog(invisible, animal, relation, NA, English), testid: 3
Successfully processed folder: Frog(invisible, animal, relation, NA, English), testid: 4
Successfully processed folder: Frog(invisible, animal, relation, NA, English), testid: 5
Successfully processed folder: Frog(invisible, animal, relation, NA, English), testid: 6
Successfully processed folder: Frog(invisible, animal, relation, NA, English), testid: 7
Successfully processed folder: Frog(invisible, animal, relation, NA, English), testid: 8
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 0
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 1
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 2
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 3
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 4
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 5
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 6
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 7
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 8
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 9
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 10
