Successfully processed folder: Perfect pitch (visible, ability, mutual elements, NA, English)
Successfully processed folder: Adaptability (invisible, ability, mutual elements, NA, English)
Successfully processed folder: Time Management (invisible, ability, mutual elements, NA, English)
Successfully processed folder: Peace Advocate (invisible, people, mutual elements, NA, English)
Successfully processed folder: Digital Storage (invisible, stuff, mutual elements, NA, English)
Successfully processed folder: Luxury Item (invisible, stuff, mutual elements, NA, English)
Successfully processed folder: Echo Location (invisible, ability, mutual elements, NA, English)
Successfully processed folder: E-commerce Giant (visible, business, mutual elements, NA, English)
Error processing folder Stock Exchange (invisible, location, mutual elements, NA, english): 'HTTPResponse' object has no attribute 'text'
Successfully processed folder: Victorian Era (invisible, time, mutual elements, USAEnglish, English)
Successfully processed folder: Space Age (visible, time, mutual elements, NA, English)
Successfully processed folder: Olympic Host (visible, location, mutual elements, NA, English)
Successfully processed folder: Film Location (invisible, location, mutual elements, NA, English)
Successfully processed folder: Painter (invisible, people, mutual elements, Non-English European, English)
Successfully processed folder: Revolutionary (invisible, people, mutual elements, East Asia, English)
Successfully processed folder: Cleaning tools clear clutter (invisible, stuff, relation, NA, English)
Successfully processed folder: Escape tools (invisible, stuff, mutual elements, NA, English)
Successfully processed folder: Library (invisible, location, relation, NA, English)
Successfully processed folder: Handicraft art (invisible, ability, relation, NA, English)
Successfully processed folder: Global climate crisis (invisible, time, mutual elements, NA, English)
Successfully processed folder: Chef (invisible, people, relation, NA, English)
Successfully processed folder: Graduate (invisible, people, relation, NA, English)
Successfully processed folder: Doctor (invisible, people, relation, NA, English)
Successfully processed folder: Martin Luther King Jr. (visible, people, relation, NA, English)
Successfully processed folder: Paris (visible, location, relation, NA, English)
Successfully processed folder: Tokyo (invisible, location, relation, NA, English)
Successfully processed folder: New York City (invisible, location, relation, NA, English)
Successfully processed folder: Decision-making ability (invisible, ability, mutual elements, NA, English)
Successfully processed folder: Puzzle-solving ability (invisible, ability, metaphor, NA, English)
Successfully processed folder: Endurance (invisible, ability, metaphor, NA, English)
Successfully processed folder: Creativity (invisible, ability, relation, NA, English)
Successfully processed folder: Memory (invisible, ability, relation, NA, English)
Successfully processed folder: Jumping Ability (invisible, ability, relation, NA, English)
Successfully processed folder: Morning Time (invisible, time, metaphor, NA, English)
Successfully processed folder: 2008 (invisible, time, mutual elements, NA, English)
Successfully processed folder: 8-00 PM prime time (invisible, time, relation, East Asia, English)
Successfully processed folder: 12-00 Midnight on New Year's Eve (invisible, time, relation, NA, English)
Successfully processed folder: Winter Solstice (invisible, time, relation, East Asia, English)
Successfully processed folder: Long-Distance Vision (invisible, ability, mutual elements, NA, English)
Successfully processed folder: Night Vision (invisible, ability, relation, NA, English)
Successfully processed folder: Comfort (invisible, sense, relation, NA, English)
Successfully processed folder: Tactile ability (invisible, ability, metaphor, NA, English)
Successfully processed folder: Amazon (visible, business, relation, NA, English)
Successfully processed folder: Intel (visible, business, relation, NA, English)
Successfully processed folder: Tesla(visible, business, relation, NA, English)
Successfully processed folder: Fast Food (visible, business, mutual element, NA, English)
Successfully processed folder: Nintendo (visible, business, relation, NA, English)
Successfully processed folder: Tencent (invisible, business, relation, NA, English)
Successfully processed folder: Rolex (visible, business, relation, NA, English)
Successfully processed folder: Disney (invisible, location, relation, NA, English)
Successfully processed folder: Portugal (invisible, location, metaphor, Non-English European, Portuguese)
